,state,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Female,Male,Total population
0,Alabama,0.055,0.061,0.064,0.069,0.064,0.127,0.128,0.121,0.06,0.066,0.109,0.057999999999999996,0.018000000000000002,0.517,0.483,5157699.0
1,Alaska,0.061,0.063,0.07200000000000001,0.064,0.068,0.153,0.146,0.11199999999999999,0.049,0.065,0.095,0.040999999999999995,0.011000000000000001,0.473,0.527,740133.0
2,Arizona,0.052000000000000005,0.055,0.063,0.067,0.069,0.138,0.129,0.115,0.054000000000000006,0.062,0.109,0.069,0.018000000000000002,0.501,0.499,7582384.0
3,Arkansas,0.057,0.063,0.065,0.069,0.066,0.126,0.132,0.11900000000000001,0.055999999999999994,0.065,0.106,0.059000000000000004,0.018000000000000002,0.509,0.491,3088354.0
4,California,0.053,0.057,0.063,0.067,0.065,0.145,0.142,0.12300000000000001,0.059000000000000004,0.06,0.095,0.052000000000000005,0.018000000000000002,0.501,0.499,39431263.0
5,Colorado,0.051,0.054000000000000006,0.059000000000000004,0.063,0.066,0.158,0.15,0.121,0.052000000000000005,0.06,0.099,0.05,0.016,0.494,0.506,5957494.0
6,Connecticut,0.049,0.053,0.057,0.066,0.065,0.127,0.13,0.12,0.067,0.07,0.111,0.06,0.023,0.509,0.491,3675069.0
7,Delaware,0.052000000000000005,0.055,0.06,0.063,0.061,0.121,0.126,0.111,0.062,0.075,0.129,0.066,0.021,0.518,0.48200000000000004,1051917.0
8,District of Columbia,0.055999999999999994,0.057999999999999996,0.045,0.054000000000000006,0.073,0.215,0.172,0.106,0.047,0.045,0.07200000000000001,0.043,0.013000000000000001,0.527,0.473,702250.0
9,Florida,0.049,0.052000000000000005,0.055999999999999994,0.057999999999999996,0.057999999999999996,0.125,0.131,0.121,0.062,0.068,0.11800000000000001,0.076,0.024,0.508,0.49200000000000005,23372215.0
10,Georgia,0.055,0.061,0.068,0.07,0.067,0.13699999999999998,0.13699999999999998,0.127,0.057999999999999996,0.062,0.094,0.05,0.013999999999999999,0.513,0.48700000000000004,11180878.0
11,Hawaii,0.053,0.06,0.057,0.055,0.059000000000000004,0.128,0.136,0.11699999999999999,0.057999999999999996,0.062,0.11599999999999999,0.073,0.027000000000000003,0.499,0.501,1446146.0
12,Idaho,0.055,0.063,0.07,0.073,0.071,0.13,0.134,0.113,0.052000000000000005,0.062,0.106,0.055,0.016,0.49700000000000005,0.503,2001619.0
13,Illinois,0.052000000000000005,0.059000000000000004,0.061,0.066,0.066,0.13699999999999998,0.134,0.12300000000000001,0.059000000000000004,0.065,0.10400000000000001,0.055,0.02,0.506,0.494,12710158.0
14,Indiana,0.057999999999999996,0.062,0.066,0.069,0.068,0.134,0.128,0.11800000000000001,0.057,0.063,0.10400000000000001,0.054000000000000006,0.018000000000000002,0.504,0.496,6924275.0
15,Iowa,0.057,0.061,0.066,0.07,0.07,0.127,0.127,0.113,0.054000000000000006,0.066,0.11,0.055999999999999994,0.023,0.499,0.501,3241488.0
16,Kansas,0.057999999999999996,0.061,0.07,0.07200000000000001,0.071,0.13,0.132,0.111,0.053,0.063,0.106,0.055,0.02,0.499,0.501,2970606.0
17,Kentucky,0.057,0.059000000000000004,0.065,0.067,0.066,0.131,0.129,0.121,0.06,0.065,0.10800000000000001,0.055999999999999994,0.017,0.504,0.496,4588372.0
18,Louisiana,0.059000000000000004,0.064,0.067,0.068,0.064,0.129,0.135,0.11599999999999999,0.055999999999999994,0.064,0.10800000000000001,0.054000000000000006,0.016,0.512,0.488,4597740.0
19,Maine,0.042,0.051,0.049,0.057,0.054000000000000006,0.122,0.126,0.11900000000000001,0.065,0.08,0.138,0.07400000000000001,0.023,0.507,0.493,1405012.0
20,Maryland,0.055999999999999994,0.06,0.063,0.064,0.06,0.129,0.14,0.122,0.063,0.067,0.102,0.055999999999999994,0.018000000000000002,0.515,0.485,6263220.0
21,Massachusetts,0.049,0.05,0.055999999999999994,0.065,0.069,0.14,0.134,0.11900000000000001,0.064,0.067,0.10800000000000001,0.059000000000000004,0.02,0.512,0.488,7136171.0
22,Michigan,0.052000000000000005,0.057,0.061,0.064,0.066,0.133,0.124,0.11699999999999999,0.062,0.068,0.11599999999999999,0.059000000000000004,0.02,0.505,0.495,10140459.0
23,Minnesota,0.055,0.062,0.066,0.067,0.063,0.129,0.138,0.115,0.055999999999999994,0.067,0.107,0.055,0.02,0.5,0.5,5793151.0
24,Mississippi,0.055999999999999994,0.059000000000000004,0.068,0.075,0.067,0.122,0.127,0.122,0.055999999999999994,0.067,0.10800000000000001,0.055999999999999994,0.016,0.517,0.483,2943045.0
25,Missouri,0.055,0.059000000000000004,0.064,0.065,0.067,0.131,0.131,0.115,0.057999999999999996,0.066,0.11,0.059000000000000004,0.019,0.507,0.493,6245466.0
26,Montana,0.047,0.057,0.06,0.064,0.065,0.125,0.133,0.114,0.055,0.067,0.128,0.065,0.019,0.494,0.506,1137233.0
27,Nebraska,0.061,0.067,0.068,0.07200000000000001,0.071,0.13,0.132,0.111,0.054000000000000006,0.06,0.102,0.053,0.019,0.49700000000000005,0.503,2005466.0
28,Nevada,0.052000000000000005,0.055999999999999994,0.063,0.061,0.057999999999999996,0.14400000000000002,0.142,0.124,0.06,0.064,0.10400000000000001,0.057,0.015,0.496,0.504,3267467.0
29,New Hampshire,0.044000000000000004,0.046,0.053,0.061,0.059000000000000004,0.126,0.127,0.11900000000000001,0.069,0.081,0.128,0.066,0.02,0.502,0.498,1409032.0
30,New Jersey,0.055,0.057,0.063,0.062,0.061,0.13,0.135,0.125,0.066,0.065,0.10300000000000001,0.057,0.02,0.508,0.49200000000000005,9500851.0
31,New Mexico,0.049,0.053,0.066,0.067,0.068,0.129,0.135,0.11199999999999999,0.055,0.065,0.11599999999999999,0.066,0.019,0.5,0.5,2130256.0
32,New York,0.052000000000000005,0.054000000000000006,0.059000000000000004,0.061,0.064,0.141,0.132,0.11900000000000001,0.062,0.068,0.107,0.06,0.022000000000000002,0.512,0.488,19867248.0
33,North Carolina,0.055,0.059000000000000004,0.06,0.066,0.068,0.134,0.132,0.12300000000000001,0.06,0.065,0.105,0.057999999999999996,0.016,0.511,0.489,11046024.0
34,North Dakota,0.055,0.062,0.07,0.069,0.077,0.14400000000000002,0.139,0.099,0.048,0.06,0.10099999999999999,0.053,0.022000000000000002,0.48700000000000004,0.513,796568.0
35,Ohio,0.055,0.061,0.061,0.065,0.064,0.131,0.129,0.11699999999999999,0.057999999999999996,0.068,0.11199999999999999,0.059000000000000004,0.02,0.506,0.494,11883304.0
36,Oklahoma,0.059000000000000004,0.065,0.068,0.07200000000000001,0.07,0.132,0.135,0.115,0.053,0.061,0.1,0.053,0.017,0.502,0.498,4095393.0
37,Oregon,0.046,0.052000000000000005,0.057999999999999996,0.06,0.061,0.13699999999999998,0.145,0.124,0.057,0.061,0.11599999999999999,0.063,0.02,0.502,0.498,4272371.0
38,Pennsylvania,0.051,0.055,0.059000000000000004,0.065,0.062,0.127,0.13,0.11599999999999999,0.062,0.069,0.11800000000000001,0.063,0.023,0.507,0.493,13078751.0
39,Puerto Rico,0.027999999999999997,0.039,0.05,0.059000000000000004,0.066,0.129,0.12300000000000001,0.125,0.063,0.07200000000000001,0.121,0.091,0.034,0.526,0.474,3203295.0
40,Rhode Island,0.046,0.048,0.054000000000000006,0.067,0.068,0.135,0.134,0.114,0.066,0.068,0.115,0.061,0.022000000000000002,0.508,0.49200000000000005,1112308.0
41,South Carolina,0.054000000000000006,0.055999999999999994,0.061,0.068,0.063,0.126,0.128,0.11900000000000001,0.057999999999999996,0.07,0.11699999999999999,0.063,0.018000000000000002,0.512,0.488,5478831.0
42,South Dakota,0.057999999999999996,0.065,0.069,0.071,0.063,0.127,0.13,0.10800000000000001,0.052000000000000005,0.067,0.11599999999999999,0.053,0.021,0.486,0.514,924669.0
43,Tennessee,0.057,0.057999999999999996,0.064,0.064,0.066,0.13699999999999998,0.131,0.121,0.062,0.063,0.105,0.054000000000000006,0.017,0.51,0.49,7227750.0
44,Texas,0.062,0.067,0.071,0.073,0.069,0.14400000000000002,0.14400000000000002,0.12300000000000001,0.053,0.055,0.084,0.043,0.013000000000000001,0.501,0.499,31290831.0
45,Utah,0.065,0.071,0.078,0.083,0.087,0.151,0.135,0.11599999999999999,0.045,0.044000000000000004,0.075,0.037000000000000005,0.012,0.49200000000000005,0.508,3503613.0
46,Vermont,0.040999999999999995,0.046,0.052000000000000005,0.065,0.064,0.115,0.127,0.121,0.061,0.078,0.135,0.071,0.023,0.506,0.494,648493.0
47,Virginia,0.054000000000000006,0.057999999999999996,0.062,0.066,0.066,0.132,0.14,0.122,0.059000000000000004,0.065,0.102,0.055999999999999994,0.018000000000000002,0.506,0.494,8811195.0
48,Washington,0.053,0.059000000000000004,0.059000000000000004,0.06,0.062,0.152,0.14800000000000002,0.11900000000000001,0.055999999999999994,0.06,0.102,0.054000000000000006,0.017,0.496,0.504,7958180.0
49,West Virginia,0.049,0.048,0.061,0.064,0.061,0.12,0.122,0.124,0.062,0.07,0.127,0.071,0.021,0.502,0.498,1769979.0
50,Wisconsin,0.051,0.057,0.061,0.065,0.067,0.127,0.128,0.11599999999999999,0.06,0.07200000000000001,0.11699999999999999,0.059000000000000004,0.02,0.499,0.501,5960975.0
51,Wyoming,0.048,0.054000000000000006,0.068,0.07,0.063,0.126,0.138,0.114,0.053,0.066,0.122,0.061,0.017,0.48700000000000004,0.513,587618.0
