,county,state,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Female,Male,Total population
0,Ada County,Idaho,0.049,0.055999999999999994,0.064,0.068,0.063,0.138,0.14400000000000002,0.128,0.054000000000000006,0.061,0.10300000000000001,0.054000000000000006,0.018000000000000002,0.49700000000000005,0.503,535799.0
1,Adams County,Colorado,0.062,0.067,0.067,0.069,0.067,0.16699999999999998,0.158,0.12300000000000001,0.047,0.055,0.07400000000000001,0.035,0.01,0.491,0.509,542973.0
2,Adams County,Pennsylvania,0.048,0.052000000000000005,0.054000000000000006,0.067,0.07,0.107,0.111,0.115,0.07,0.07200000000000001,0.142,0.069,0.023,0.501,0.499,107914.0
3,Aiken County,South Carolina,0.057999999999999996,0.051,0.064,0.061,0.054000000000000006,0.122,0.129,0.11199999999999999,0.059000000000000004,0.073,0.126,0.076,0.015,0.513,0.48700000000000004,179245.0
4,Alachua County,Florida,0.047,0.046,0.052000000000000005,0.095,0.154,0.13,0.13,0.092,0.040999999999999995,0.052000000000000005,0.095,0.049,0.017,0.523,0.47700000000000004,291782.0
5,Alamance County,North Carolina,0.055,0.053,0.066,0.076,0.079,0.124,0.12300000000000001,0.12,0.069,0.061,0.1,0.057999999999999996,0.015,0.516,0.484,183040.0
6,Alameda County,California,0.05,0.055,0.053,0.059000000000000004,0.057,0.149,0.161,0.133,0.062,0.057999999999999996,0.094,0.051,0.02,0.503,0.49700000000000005,1649060.0
7,Albany County,New York,0.040999999999999995,0.053,0.051,0.075,0.099,0.133,0.124,0.11199999999999999,0.061,0.06,0.106,0.061,0.023,0.513,0.48700000000000004,319964.0
8,Albemarle County,Virginia,0.047,0.052000000000000005,0.053,0.084,0.073,0.12300000000000001,0.131,0.10400000000000001,0.047,0.068,0.11800000000000001,0.061,0.037000000000000005,0.522,0.478,117313.0
9,Alexandria city,Virginia,0.059000000000000004,0.053,0.040999999999999995,0.028999999999999998,0.053,0.201,0.19399999999999998,0.122,0.064,0.047,0.08,0.040999999999999995,0.013999999999999999,0.506,0.494,159102.0
10,Allegan County,Michigan,0.053,0.066,0.063,0.063,0.052000000000000005,0.125,0.13,0.115,0.064,0.07400000000000001,0.12,0.068,0.006999999999999999,0.494,0.506,122429.0
11,Allegany County,Maryland,0.039,0.053,0.05,0.057999999999999996,0.084,0.132,0.125,0.113,0.055,0.07200000000000001,0.121,0.081,0.017,0.465,0.535,67097.0
12,Allegheny County,Pennsylvania,0.048,0.053,0.049,0.061,0.06,0.14300000000000002,0.142,0.109,0.059000000000000004,0.066,0.12300000000000001,0.065,0.024,0.511,0.489,1231814.0
13,Allen County,Indiana,0.066,0.07200000000000001,0.068,0.069,0.066,0.142,0.13,0.114,0.054000000000000006,0.055999999999999994,0.096,0.05,0.017,0.509,0.491,399295.0
14,Allen County,Ohio,0.059000000000000004,0.066,0.067,0.059000000000000004,0.071,0.124,0.114,0.11800000000000001,0.049,0.07,0.11900000000000001,0.062,0.021,0.49700000000000005,0.503,100866.0
15,Anchorage Municipality,Alaska,0.061,0.067,0.067,0.055999999999999994,0.076,0.16399999999999998,0.15,0.11199999999999999,0.046,0.065,0.083,0.04,0.012,0.49200000000000005,0.508,289600.0
16,Anderson County,South Carolina,0.055,0.062,0.064,0.068,0.059000000000000004,0.121,0.128,0.126,0.063,0.066,0.113,0.055,0.022000000000000002,0.521,0.479,217183.0
17,Anderson County,Tennessee,0.05,0.061,0.061,0.055,0.055,0.134,0.11900000000000001,0.127,0.07,0.06,0.115,0.073,0.02,0.505,0.495,81449.0
18,Androscoggin County,Maine,0.051,0.052000000000000005,0.061,0.073,0.071,0.12,0.124,0.122,0.062,0.068,0.114,0.062,0.02,0.504,0.496,115272.0
19,Angelina County,Texas,0.062,0.069,0.064,0.07400000000000001,0.052000000000000005,0.145,0.11699999999999999,0.121,0.054000000000000006,0.055999999999999994,0.113,0.053,0.019,0.501,0.499,88094.0
20,Anne Arundel County,Maryland,0.057,0.057,0.068,0.059000000000000004,0.063,0.132,0.147,0.121,0.061,0.067,0.096,0.051,0.02,0.503,0.49700000000000005,602350.0
21,Anoka County,Minnesota,0.057,0.071,0.062,0.064,0.06,0.12300000000000001,0.147,0.12,0.066,0.065,0.098,0.053,0.012,0.49700000000000005,0.503,376840.0
22,Apache County,Arizona,0.048,0.065,0.075,0.09,0.063,0.113,0.128,0.10800000000000001,0.064,0.061,0.126,0.046,0.013999999999999999,0.507,0.493,64800.0
23,Arapahoe County,Colorado,0.057,0.055999999999999994,0.067,0.063,0.061,0.156,0.153,0.125,0.053,0.057,0.091,0.046,0.015,0.501,0.499,666918.0
24,Arecibo Municipio,Puerto Rico,0.027000000000000003,0.035,0.054000000000000006,0.063,0.057999999999999996,0.14,0.11,0.128,0.07,0.067,0.115,0.09300000000000001,0.04,0.524,0.47600000000000003,85971.0
25,Arlington County,Virginia,0.047,0.045,0.055,0.043,0.07,0.231,0.163,0.12300000000000001,0.052000000000000005,0.048,0.07,0.040999999999999995,0.015,0.5,0.5,239807.0
26,Armstrong County,Pennsylvania,0.043,0.038,0.065,0.054000000000000006,0.048,0.109,0.111,0.126,0.079,0.069,0.151,0.076,0.03,0.499,0.501,63679.0
27,Aroostook County,Maine,0.043,0.055,0.051,0.053,0.047,0.105,0.102,0.125,0.07200000000000001,0.084,0.154,0.079,0.03,0.506,0.494,66776.0
28,Ascension Parish,Louisiana,0.064,0.067,0.08,0.064,0.061,0.132,0.152,0.121,0.064,0.055999999999999994,0.085,0.045,0.008,0.516,0.484,133534.0
29,Ashtabula County,Ohio,0.055,0.062,0.055999999999999994,0.064,0.049,0.122,0.114,0.12300000000000001,0.068,0.071,0.127,0.069,0.019,0.486,0.514,96906.0
30,Atlantic County,New Jersey,0.049,0.048,0.069,0.068,0.064,0.11699999999999999,0.11599999999999999,0.11599999999999999,0.069,0.07400000000000001,0.131,0.06,0.02,0.509,0.491,279114.0
