,county,state,In labor force,Not in labor force,Population 16 years and over
0,Ada County,Idaho,0.6509999999999999,0.349,437887.0
1,Adams County,Colorado,0.736,0.264,428479.0
2,Adams County,Pennsylvania,0.6559999999999999,0.344,89648.0
3,Aiken County,South Carolina,0.588,0.41200000000000003,146656.0
4,Alachua County,Florida,0.617,0.38299999999999995,246935.0
5,Alamance County,North Carolina,0.637,0.363,148612.0
6,Alameda County,California,0.674,0.326,1372398.0
7,Albany County,New York,0.636,0.364,270776.0
8,Albemarle County,Virginia,0.635,0.365,98475.0
9,Alexandria city,Virginia,0.8,0.2,132691.0
10,Allegan County,Michigan,0.631,0.369,98447.0
11,Allegany County,Maryland,0.5479999999999999,0.452,56789.0
12,Allegheny County,Pennsylvania,0.65,0.35,1033903.0
13,Allen County,Indiana,0.675,0.325,311833.0
14,Allen County,Ohio,0.581,0.419,80470.0
15,Anchorage Municipality,Alaska,0.7120000000000001,0.28800000000000003,229567.0
16,Anderson County,South Carolina,0.623,0.377,175694.0
17,Anderson County,Tennessee,0.628,0.37200000000000005,66652.0
18,Androscoggin County,Maine,0.653,0.34700000000000003,94936.0
19,Angelina County,Texas,0.585,0.415,69513.0
20,Anne Arundel County,Maryland,0.7,0.3,483716.0
21,Anoka County,Minnesota,0.7070000000000001,0.293,299144.0
22,Apache County,Arizona,0.436,0.564,51827.0
23,Arapahoe County,Colorado,0.727,0.273,538835.0
24,Arecibo Municipio,Puerto Rico,0.466,0.534,74807.0
25,Arlington County,Virginia,0.753,0.247,201911.0
26,Armstrong County,Pennsylvania,0.5660000000000001,0.434,53745.0
27,Aroostook County,Maine,0.5660000000000001,0.434,55837.0
28,Ascension Parish,Louisiana,0.6829999999999999,0.317,103324.0
29,Ashtabula County,Ohio,0.5660000000000001,0.434,79190.0
30,Atlantic County,New Jersey,0.652,0.348,229777.0
31,Augusta County,Virginia,0.624,0.376,67156.0
32,Baldwin County,Alabama,0.591,0.409,211914.0
33,Baltimore County,Maryland,0.6659999999999999,0.33399999999999996,691798.0
34,Baltimore city,Maryland,0.664,0.336,463807.0
35,Bannock County,Idaho,0.677,0.32299999999999995,71957.0
36,Barnstable County,Massachusetts,0.5589999999999999,0.441,205105.0
37,Barrow County,Georgia,0.687,0.313,74523.0
38,Bartholomew County,Indiana,0.648,0.35200000000000004,68849.0
39,Bartow County,Georgia,0.665,0.335,94210.0
40,Bastrop County,Texas,0.642,0.358,89177.0
41,Bay County,Florida,0.649,0.35100000000000003,162326.0
42,Bay County,Michigan,0.629,0.371,85665.0
43,Bayamón Municipio,Puerto Rico,0.489,0.511,158490.0
44,Beaufort County,South Carolina,0.584,0.41600000000000004,172764.0
45,Beaver County,Pennsylvania,0.626,0.374,138016.0
46,Bedford County,Virginia,0.574,0.426,69367.0
47,Belknap County,New Hampshire,0.605,0.395,56392.0
48,Bell County,Texas,0.647,0.353,303284.0
49,Belmont County,Ohio,0.563,0.43700000000000006,54473.0
50,Benton County,Arkansas,0.6729999999999999,0.327,250578.0
51,Benton County,Oregon,0.617,0.38299999999999995,86739.0
52,Benton County,Washington,0.625,0.375,171022.0
53,Bergen County,New Jersey,0.67,0.33,801554.0
54,Berkeley County,South Carolina,0.6729999999999999,0.327,211598.0
55,Berkeley County,West Virginia,0.6559999999999999,0.344,108462.0
56,Berks County,Pennsylvania,0.65,0.35,355861.0
57,Berkshire County,Massachusetts,0.596,0.40399999999999997,112089.0
58,Bernalillo County,New Mexico,0.622,0.37799999999999995,556109.0
59,Berrien County,Michigan,0.606,0.39399999999999996,124969.0
60,Bexar County,Texas,0.662,0.33799999999999997,1680399.0
61,Bibb County,Georgia,0.5539999999999999,0.446,124598.0
62,Black Hawk County,Iowa,0.6829999999999999,0.317,106458.0
63,Blair County,Pennsylvania,0.604,0.396,99394.0
64,Blount County,Tennessee,0.606,0.39399999999999996,119141.0
65,Blue Earth County,Minnesota,0.7070000000000001,0.293,58797.0
66,Bonneville County,Idaho,0.65,0.35,99458.0
67,Boone County,Indiana,0.687,0.313,61722.0
68,Boone County,Kentucky,0.675,0.325,112610.0
69,Boone County,Missouri,0.675,0.325,158569.0
70,Bossier Parish,Louisiana,0.63,0.37,103224.0
71,Boulder County,Colorado,0.669,0.331,283222.0
72,Bowie County,Texas,0.57,0.43,72824.0
73,Bradley County,Tennessee,0.617,0.38299999999999995,92752.0
74,Brazoria County,Texas,0.655,0.345,322572.0
75,Brazos County,Texas,0.601,0.39899999999999997,206198.0
76,Brevard County,Florida,0.565,0.435,557302.0
