ori,counties,is_nibrs,latitude,longitude,state_abbr,state_name,agency_name,agency_type_name,nibrs_start_date,county_name,Arrests_2024,Population_2024
CO0050700,BACA,TRUE,37.306678,-102.537765,CO,Colorado,Walsh Police Department,City,10/1/2004,BACA,0,504
CO0050000,BACA,TRUE,37.41247,-102.61426,CO,Colorado,Baca County Sheriff's Office,County,1/1/1997,BACA,0,1543
CO0050100,BACA,TRUE,37.406647,-102.61652,CO,Colorado,Springfield Police Department,City,1/1/2003,BACA,46,1280
CO0060000,BENT,TRUE,37.931891,-103.077584,CO,Colorado,Bent County Sheriff's Office,County,1/1/1997,BENT,129,5800
CO0330000,LAKE,TRUE,39.205341,-106.350079,CO,Colorado,Lake County Sheriff's Office,County,1/1/1997,LAKE,125,4780
CO0330100,LAKE,TRUE,39.25045,-106.29249,CO,Colorado,Leadville Police Department,City,1/1/1997,LAKE,32,2630
CO0390400,MESA,TRUE,39.019492,-108.461837,CO,Colorado,De Beque Police Department,City,1/1/1997,MESA,0,473
CO0390000,MESA,TRUE,39.068436,-108.57308,CO,Colorado,Mesa County Sheriff's Office,County,1/1/1997,MESA,2174,74502
CO0390100,MESA,TRUE,39.019492,-108.461837,CO,Colorado,Grand Junction Police Department,City,1/1/1997,MESA,4671,70686
CO0390200,MESA,TRUE,39.157085,-108.733734,CO,Colorado,Fruita Police Department,City,1/1/2011,MESA,203,13949
CO0390300,MESA,TRUE,39.019492,-108.461837,CO,Colorado,Palisade Police Department,City,1/1/1997,MESA,148,2613
CO0470100,PARK,TRUE,39.118914,-105.717648,CO,Colorado,Fairplay Police Department,City,9/1/1997,PARK,26,740
CO0470000,PARK,TRUE,39.118914,-105.717648,CO,Colorado,Park County Sheriff's Office,County,1/1/1997,PARK,1,17764
CO0622700,WELD,TRUE,40.39324,-104.68806,CO,Colorado,Garden City Police Department,City,1/1/2012,WELD,122,249
CO0620000,WELD,TRUE,40.45202,-104.71033,CO,Colorado,Weld County Sheriff's Office,County,1/1/2005,WELD,1499,50473
CO0620100,WELD,TRUE,40.080627,-104.8129,CO,Colorado,Fort Lupton Police Department,City,1/1/1997,WELD,259,9984
CO0620200,WELD,TRUE,40.422905,-104.72735,CO,Colorado,Greeley Police Department,City,1/1/2005,WELD,4748,113757
CO0620300,WELD,TRUE,40.526012,-104.71326,CO,Colorado,Eaton Police Department,City,1/1/1997,WELD,99,5828
CO0620400,WELD,TRUE,40.377373,-104.69789,CO,Colorado,Evans Police Department,City,1/1/2012,WELD,675,22341
CO0620500,WELD,TRUE,40.350674,-104.703735,CO,Colorado,La Salle Police Department,City,1/1/2012,WELD,31,2282
CO0620800,WELD,TRUE,40.555794,-104.383649,CO,Colorado,Dacono Police Department,City,5/1/1997,WELD,42,6679
CO0620900,WELD,TRUE,40.555794,-104.383649,CO,Colorado,Kersey Police Department,City,1/1/2005,WELD,16,1485
CO0621100,WELD,TRUE,40.555794,-104.383649,CO,Colorado,Milliken Police Department,City,1/1/2005,WELD,93,9303
CO0621200,WELD,TRUE,40.555794,-104.383649,CO,Colorado,Ault Police Department,City,1/1/2005,WELD,51,2978
CO0621300,WELD,TRUE,40.217316,-104.82332,CO,Colorado,Platteville Police Department,City,7/1/2013,WELD,68,3894
CO0621600,WELD,TRUE,40.40606,-104.686966,CO,Colorado,University of Northern Colorado,University or College,1/1/1997,WELD,57,0
CO0621700,WELD,TRUE,40.555794,-104.383649,CO,Colorado,Frederick Police Department,City,1/1/2006,WELD,174,18791
CO0621800,WELD,TRUE,40.555794,-104.383649,CO,Colorado,Firestone Police Department,City,1/1/2012,WELD,182,19282
CO0621900,WELD,TRUE,40.555794,-104.383649,CO,Colorado,Keenesburg Police Department,City,1/1/2012,WELD,112,2435
CO0622000,WELD,TRUE,40.010933,-104.71616,CO,Colorado,Lochbuie Police Department,City,12/1/2014,WELD,206,8382
CO0622300,WELD,TRUE,,,CO,Colorado,Nunn Police Department,City,1/1/2021,WELD,7,541
CO0622400,WELD,TRUE,40.555794,-104.383649,CO,Colorado,Hudson Police Department,City,1/1/2012,WELD,114,1606
CO0622600,WELD,TRUE,40.555794,-104.383649,CO,Colorado,Mead Police Department,City,1/1/2012,WELD,159,7124
CO0622800,WELD,TRUE,40.555794,-104.383649,CO,Colorado,Severance Police Department,City,1/1/2012,WELD,72,11997
CO0622900,WELD,TRUE,40.555794,-104.383649,CO,Colorado,Aims Community College,University or College,1/1/2012,WELD,0,0
CO0628000,WELD,TRUE,,,CO,Colorado,Weld County Drug Task Force,Other,11/1/2022,WELD,19,0
CO0630200,YUMA,TRUE,40.000631,-102.422649,CO,Colorado,Yuma Police Department,City,1/1/1997,YUMA,66,3384
CO0630100,YUMA,TRUE,40.000631,-102.422649,CO,Colorado,Wray Police Department,City,1/1/1997,YUMA,37,2309
CO0630000,YUMA,TRUE,40.078796,-102.22071,CO,Colorado,Yuma County Sheriff's Office,County,1/1/1997,YUMA,23,4212
CO0010300,ADAMS,TRUE,39.874325,-104.331872,CO,Colorado,Commerce City Police Department,City,1/1/1997,ADAMS,1994,70170
CO0010400,ADAMS,TRUE,39.868996,-104.984215,CO,Colorado,Thornton Police Department,City,1/1/2012,ADAMS,5184,145847
CO0010800,ADAMS,TRUE,39.859097,-105.01396,CO,Colorado,Federal Heights Police Department,City,1/1/1997,ADAMS,506,13796
CO0011100,ADAMS,TRUE,39.644632,-104.331733,CO,Colorado,University of Colorado: Denver,University or College,1/1/2002,ADAMS,78,0
CO0010000,ADAMS,TRUE,39.874325,-104.331872,CO,Colorado,Adams County Sheriff's Office,County,1/1/1997,ADAMS,6237,103829
CO0150300,DELTA,TRUE,38.861756,-107.864757,CO,Colorado,Hotchkiss Police Department,City,5/1/2012,DELTA,43,945
CO0150400,DELTA,TRUE,38.861756,-107.864757,CO,Colorado,Cedaredge Police Department,City,1/1/2012,DELTA,33,2452
CO0150000,DELTA,TRUE,38.861756,-107.864757,CO,Colorado,Delta County Sheriff's Office,County,12/1/1997,DELTA,387,17593
CO0150100,DELTA,TRUE,38.74036,-108.072365,CO,Colorado,Delta Police Department,City,1/1/2012,DELTA,499,9785
CO0150200,DELTA,TRUE,38.861756,-107.864757,CO,Colorado,Paonia Police Department,City,1/1/2012,DELTA,32,1462
CO0190200,EAGLE,TRUE,39.630638,-106.692944,CO,Colorado,Eagle Police Department,City,1/1/1997,EAGLE,122,7354
CO0191000,EAGLE,TRUE,,,CO,Colorado,Gypsum Police Department,City,2/1/2014,EAGLE,97,9101
CO0190000,EAGLE,TRUE,39.630638,-106.692944,CO,Colorado,Eagle County Sheriff's Office,County,1/1/1997,EAGLE,397,24661
CO0190100,EAGLE,TRUE,39.627712,-106.42001,CO,Colorado,Vail Police Department,City,1/1/1997,EAGLE,267,4426
CO0190600,EAGLE,TRUE,39.630638,-106.692944,CO,Colorado,Avon Police Department,City,1/1/1997,EAGLE,411,5896
