State,Total all classes,Violent crime,Property crime,Murder and nonnegligent manslaughter,Rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson,Other assaults,Forgery and counterfeiting,Fraud,Embezzlement,"Stolen property; buying, receiving, possessing",Vandalism,"Weapons; carrying, possessing, etc.",Prostitution and commercialized vice ,Sex offenses (except rape and prostitution),Drug abuse violations,Gambling,Offenses against the family and children ,Driving under the influence,Liquor laws,Drunkenness,Disorderly conduct,Vagrancy,All other offenses (except traffic),Suspicion,Curfew and loitering law violations,Abbrv,latitude,longitude
ALABAMA,135054,4101,11730,237,194,451,3219,1497,9578,571,84,11575,386,837,42,1368,1583,649,62,129,17803,3,294,8884,6272,0,2371,0,66965,0,0,AL,32.318231,-86.902298
ALASKA,20014,1893,2011,29,92,226,1546,450,1264,264,33,3803,25,141,28,51,911,306,0,221,706,0,123,2961,84,3,666,181,5900,0,0,AK,63.588753,-154.493062
ARIZONA,208650,11574,24620,341,299,1537,9397,2665,20210,1537,208,26665,501,1747,608,931,6813,4189,643,688,21625,5,925,21219,4369,73,11985,1931,67021,1,517,AZ,34.048928,-111.093731
ARKANSAS,106112,5547,9848,151,308,403,4685,1523,7789,483,53,12566,383,522,32,1215,1454,932,24,102,13588,19,336,6911,1267,0,3283,278,47536,0,269,AR,35.20105,-91.831833
CALIFORNIA,590730,44098,57008,645,1379,9171,32903,8204,41542,5696,1566,66507,1874,7121,550,11435,12995,17866,1218,1433,63966,108,812,90644,1805,0,37746,4233,169212,0,99,CA,36.778261,-119.417932
COLORADO,175929,9171,23578,229,373,1127,7442,3012,17070,3160,336,17287,326,1121,49,973,4939,2651,324,306,12143,6,2532,15827,2647,0,4724,273,76983,0,69,CO,39.550051,-105.782067
CONNECTICUT,75690,2313,9213,64,133,568,1548,858,7373,929,53,13947,220,408,93,319,1449,1259,58,253,3363,5,1540,6392,42,0,10443,3,24370,0,0,CT,41.603221,-73.087749
DELAWARE,26664,1972,4309,32,55,290,1595,511,3543,225,30,5787,113,1042,85,377,834,464,32,75,2932,13,175,314,429,0,927,55,6711,0,18,DE,38.910832,-75.52767
DISTRICT OF COLUMBIA,40032,1469,1626,91,46,746,586,154,1378,93,1,6480,288,75,7,107,710,1533,18,133,1809,9,7,441,284,0,412,1,24623,0,0,DC,38.905985,-77.033418
FLORIDA,315030,14634,33148,318,671,2076,11569,4185,26216,2636,111,44793,770,3881,414,793,3623,4208,1057,965,33074,25,763,20448,3556,0,1971,1599,145118,0,190,FL,27.664827,-81.515754
GEORGIA,172924,8151,18845,287,401,722,6741,1542,16311,869,123,20030,969,5003,31,1714,3484,2028,220,485,20443,45,1023,19331,1152,0,7006,1561,61234,0,169,GA,32.157435,-82.907123
