"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alabama!!Percent","Alabama!!Percent Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Alaska!!Percent","Alaska!!Percent Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arizona!!Percent","Arizona!!Percent Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","Arkansas!!Percent","Arkansas!!Percent Margin of Error","California!!Estimate","California!!Margin of Error","California!!Percent","California!!Percent Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Colorado!!Percent","Colorado!!Percent Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Connecticut!!Percent","Connecticut!!Percent Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","Delaware!!Percent","Delaware!!Percent Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","District of Columbia!!Percent","District of Columbia!!Percent Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Florida!!Percent","Florida!!Percent Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Georgia!!Percent","Georgia!!Percent Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Hawaii!!Percent","Hawaii!!Percent Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Idaho!!Percent","Idaho!!Percent Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Illinois!!Percent","Illinois!!Percent Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Indiana!!Percent","Indiana!!Percent Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Iowa!!Percent","Iowa!!Percent Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kansas!!Percent","Kansas!!Percent Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Kentucky!!Percent","Kentucky!!Percent Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Louisiana!!Percent","Louisiana!!Percent Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maine!!Percent","Maine!!Percent Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Maryland!!Percent","Maryland!!Percent Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Michigan!!Percent","Michigan!!Percent Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Minnesota!!Percent","Minnesota!!Percent Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Mississippi!!Percent","Mississippi!!Percent Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Missouri!!Percent","Missouri!!Percent Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Montana!!Percent","Montana!!Percent Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nebraska!!Percent","Nebraska!!Percent Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","Nevada!!Percent","Nevada!!Percent Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Hampshire!!Percent","New Hampshire!!Percent Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Jersey!!Percent","New Jersey!!Percent Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New Mexico!!Percent","New Mexico!!Percent Margin of Error","New York!!Estimate","New York!!Margin of Error","New York!!Percent","New York!!Percent Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Carolina!!Percent","North Carolina!!Percent Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","North Dakota!!Percent","North Dakota!!Percent Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Ohio!!Percent","Ohio!!Percent Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oklahoma!!Percent","Oklahoma!!Percent Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Oregon!!Percent","Oregon!!Percent Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Pennsylvania!!Percent","Pennsylvania!!Percent Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","Rhode Island!!Percent","Rhode Island!!Percent Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Carolina!!Percent","South Carolina!!Percent Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","South Dakota!!Percent","South Dakota!!Percent Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Tennessee!!Percent","Tennessee!!Percent Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Texas!!Percent","Texas!!Percent Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Utah!!Percent","Utah!!Percent Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Vermont!!Percent","Vermont!!Percent Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Virginia!!Percent","Virginia!!Percent Margin of Error","Washington!!Estimate","Washington!!Margin of Error","Washington!!Percent","Washington!!Percent Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","West Virginia!!Percent","West Virginia!!Percent Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wisconsin!!Percent","Wisconsin!!Percent Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Wyoming!!Percent","Wyoming!!Percent Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error","Puerto Rico!!Percent","Puerto Rico!!Percent Margin of Error"
"SEX AND AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","5,157,699","*****","5,157,699","(X)","740,133","*****","740,133","(X)","7,582,384","*****","7,582,384","(X)","3,088,354","*****","3,088,354","(X)","39,431,263","*****","39,431,263","(X)","5,957,494","*****","5,957,494","(X)","3,675,069","*****","3,675,069","(X)","1,051,917","*****","1,051,917","(X)","702,250","*****","702,250","(X)","23,372,215","*****","23,372,215","(X)","11,180,878","*****","11,180,878","(X)","1,446,146","*****","1,446,146","(X)","2,001,619","*****","2,001,619","(X)","12,710,158","*****","12,710,158","(X)","6,924,275","*****","6,924,275","(X)","3,241,488","*****","3,241,488","(X)","2,970,606","*****","2,970,606","(X)","4,588,372","*****","4,588,372","(X)","4,597,740","*****","4,597,740","(X)","1,405,012","*****","1,405,012","(X)","6,263,220","*****","6,263,220","(X)","7,136,171","*****","7,136,171","(X)","10,140,459","*****","10,140,459","(X)","5,793,151","*****","5,793,151","(X)","2,943,045","*****","2,943,045","(X)","6,245,466","*****","6,245,466","(X)","1,137,233","*****","1,137,233","(X)","2,005,466","*****","2,005,466","(X)","3,267,467","*****","3,267,467","(X)","1,409,032","*****","1,409,032","(X)","9,500,851","*****","9,500,851","(X)","2,130,256","*****","2,130,256","(X)","19,867,248","*****","19,867,248","(X)","11,046,024","*****","11,046,024","(X)","796,568","*****","796,568","(X)","11,883,304","*****","11,883,304","(X)","4,095,393","*****","4,095,393","(X)","4,272,371","*****","4,272,371","(X)","13,078,751","*****","13,078,751","(X)","1,112,308","*****","1,112,308","(X)","5,478,831","*****","5,478,831","(X)","924,669","*****","924,669","(X)","7,227,750","*****","7,227,750","(X)","31,290,831","*****","31,290,831","(X)","3,503,613","*****","3,503,613","(X)","648,493","*****","648,493","(X)","8,811,195","*****","8,811,195","(X)","7,958,180","*****","7,958,180","(X)","1,769,979","*****","1,769,979","(X)","5,960,975","*****","5,960,975","(X)","587,618","*****","587,618","(X)","3,203,295","*****","3,203,295","(X)"
"        Male","2,490,551","±4,590","48.3%","±0.1","390,301","±2,584","52.7%","±0.3","3,782,883","±3,295","49.9%","±0.1","1,517,526","±4,557","49.1%","±0.1","19,675,103","±6,629","49.9%","±0.1","3,016,719","±3,954","50.6%","±0.1","1,804,896","±3,097","49.1%","±0.1","506,763","±1,404","48.2%","±0.1","332,062","±940","47.3%","±0.1","11,488,598","±8,625","49.2%","±0.1","5,441,586","±9,788","48.7%","±0.1","723,923","±1,829","50.1%","±0.1","1,007,233","±2,892","50.3%","±0.1","6,280,259","±5,422","49.4%","±0.1","3,431,764","±5,808","49.6%","±0.1","1,622,686","±4,228","50.1%","±0.1","1,487,233","±3,961","50.1%","±0.1","2,274,627","±4,473","49.6%","±0.1","2,242,572","±6,283","48.8%","±0.1","692,688","±2,708","49.3%","±0.2","3,038,142","±3,523","48.5%","±0.1","3,481,139","±2,519","48.8%","±0.1","5,015,542","±4,173","49.5%","±0.1","2,897,870","±3,949","50.0%","±0.1","1,421,300","±6,098","48.3%","±0.2","3,080,058","±4,794","49.3%","±0.1","575,447","±2,557","50.6%","±0.2","1,009,629","±2,992","50.3%","±0.1","1,647,319","±2,450","50.4%","±0.1","702,191","±2,024","49.8%","±0.1","4,677,607","±3,736","49.2%","±0.1","1,065,400","±3,388","50.0%","±0.2","9,704,610","±5,938","48.8%","±0.1","5,396,017","±7,954","48.9%","±0.1","408,714","±2,484","51.3%","±0.3","5,867,389","±6,384","49.4%","±0.1","2,040,182","±3,702","49.8%","±0.1","2,128,207","±3,663","49.8%","±0.1","6,448,942","±5,384","49.3%","±0.1","547,371","±2,055","49.2%","±0.2","2,671,064","±6,317","48.8%","±0.1","474,961","±2,740","51.4%","±0.3","3,544,910","±6,728","49.0%","±0.1","15,608,512","±11,362","49.9%","±0.1","1,778,121","±2,953","50.8%","±0.1","320,167","±1,801","49.4%","±0.3","4,356,641","±8,135","49.4%","±0.1","4,009,969","±5,366","50.4%","±0.1","881,512","±3,751","49.8%","±0.2","2,984,118","±4,251","50.1%","±0.1","301,319","±2,922","51.3%","±0.5","1,516,882","±4,276","47.4%","±0.1"
"        Female","2,667,148","±4,590","51.7%","±0.1","349,832","±2,584","47.3%","±0.3","3,799,501","±3,295","50.1%","±0.1","1,570,828","±4,557","50.9%","±0.1","19,756,160","±6,629","50.1%","±0.1","2,940,775","±3,953","49.4%","±0.1","1,870,173","±3,097","50.9%","±0.1","545,154","±1,404","51.8%","±0.1","370,188","±940","52.7%","±0.1","11,883,617","±8,625","50.8%","±0.1","5,739,292","±9,788","51.3%","±0.1","722,223","±1,829","49.9%","±0.1","994,386","±2,892","49.7%","±0.1","6,429,899","±5,422","50.6%","±0.1","3,492,511","±5,808","50.4%","±0.1","1,618,802","±4,228","49.9%","±0.1","1,483,373","±3,961","49.9%","±0.1","2,313,745","±4,473","50.4%","±0.1","2,355,168","±6,283","51.2%","±0.1","712,324","±2,708","50.7%","±0.2","3,225,078","±3,523","51.5%","±0.1","3,655,032","±2,519","51.2%","±0.1","5,124,917","±4,173","50.5%","±0.1","2,895,281","±3,949","50.0%","±0.1","1,521,745","±6,098","51.7%","±0.2","3,165,408","±4,794","50.7%","±0.1","561,786","±2,557","49.4%","±0.2","995,837","±2,992","49.7%","±0.1","1,620,148","±2,450","49.6%","±0.1","706,841","±2,024","50.2%","±0.1","4,823,244","±3,736","50.8%","±0.1","1,064,856","±3,388","50.0%","±0.2","10,162,638","±5,938","51.2%","±0.1","5,650,007","±7,954","51.1%","±0.1","387,854","±2,484","48.7%","±0.3","6,015,915","±6,384","50.6%","±0.1","2,055,211","±3,702","50.2%","±0.1","2,144,164","±3,663","50.2%","±0.1","6,629,809","±5,384","50.7%","±0.1","564,937","±2,055","50.8%","±0.2","2,807,767","±6,317","51.2%","±0.1","449,708","±2,740","48.6%","±0.3","3,682,840","±6,728","51.0%","±0.1","15,682,319","±11,362","50.1%","±0.1","1,725,492","±2,953","49.2%","±0.1","328,326","±1,801","50.6%","±0.3","4,454,554","±8,135","50.6%","±0.1","3,948,211","±5,366","49.6%","±0.1","888,467","±3,751","50.2%","±0.2","2,976,857","±4,251","49.9%","±0.1","286,299","±2,922","48.7%","±0.5","1,686,413","±4,276","52.6%","±0.1"
"        Sex ratio (males per 100 females)","93.4","±0.3","(X)","(X)","111.6","±1.6","(X)","(X)","99.6","±0.2","(X)","(X)","96.6","±0.6","(X)","(X)","99.6","±0.1","(X)","(X)","102.6","±0.3","(X)","(X)","96.5","±0.3","(X)","(X)","93.0","±0.5","(X)","(X)","89.7","±0.5","(X)","(X)","96.7","±0.1","(X)","(X)","94.8","±0.3","(X)","(X)","100.2","±0.5","(X)","(X)","101.3","±0.6","(X)","(X)","97.7","±0.2","(X)","(X)","98.3","±0.3","(X)","(X)","100.2","±0.5","(X)","(X)","100.3","±0.5","(X)","(X)","98.3","±0.4","(X)","(X)","95.2","±0.5","(X)","(X)","97.2","±0.7","(X)","(X)","94.2","±0.2","(X)","(X)","95.2","±0.1","(X)","(X)","97.9","±0.2","(X)","(X)","100.1","±0.3","(X)","(X)","93.4","±0.8","(X)","(X)","97.3","±0.3","(X)","(X)","102.4","±0.9","(X)","(X)","101.4","±0.6","(X)","(X)","101.7","±0.3","(X)","(X)","99.3","±0.6","(X)","(X)","97.0","±0.2","(X)","(X)","100.1","±0.6","(X)","(X)","95.5","±0.1","(X)","(X)","95.5","±0.3","(X)","(X)","105.4","±1.3","(X)","(X)","97.5","±0.2","(X)","(X)","99.3","±0.4","(X)","(X)","99.3","±0.3","(X)","(X)","97.3","±0.2","(X)","(X)","96.9","±0.7","(X)","(X)","95.1","±0.4","(X)","(X)","105.6","±1.3","(X)","(X)","96.3","±0.4","(X)","(X)","99.5","±0.1","(X)","(X)","103.1","±0.3","(X)","(X)","97.5","±1.1","(X)","(X)","97.8","±0.4","(X)","(X)","101.6","±0.3","(X)","(X)","99.2","±0.8","(X)","(X)","100.2","±0.3","(X)","(X)","105.2","±2.1","(X)","(X)","89.9","±0.5","(X)","(X)"
"        Under 5 years","285,758","±3,966","5.5%","±0.1","44,922","±1,672","6.1%","±0.2","393,963","±1,266","5.2%","±0.1","176,599","±3,020","5.7%","±0.1","2,083,154","±3,122","5.3%","±0.1","306,464","±2,732","5.1%","±0.1","179,896","±1,906","4.9%","±0.1","54,788","±209","5.2%","±0.1","39,498","±79","5.6%","±0.1","1,146,626","±4,333","4.9%","±0.1","612,543","±5,147","5.5%","±0.1","76,057","±697","5.3%","±0.1","110,595","±1,544","5.5%","±0.1","655,117","±3,018","5.2%","±0.1","403,534","±3,698","5.8%","±0.1","186,076","±2,988","5.7%","±0.1","171,018","±1,775","5.8%","±0.1","261,525","±3,142","5.7%","±0.1","271,498","±3,655","5.9%","±0.1","58,509","±1,046","4.2%","±0.1","350,973","±2,514","5.6%","±0.1","346,996","±1,671","4.9%","±0.1","524,888","±2,207","5.2%","±0.1","318,595","±2,556","5.5%","±0.1","163,692","±3,924","5.6%","±0.1","343,005","±3,017","5.5%","±0.1","53,955","±1,286","4.7%","±0.1","121,522","±1,684","6.1%","±0.1","169,737","±1,245","5.2%","±0.1","61,710","±1,299","4.4%","±0.1","525,751","±2,111","5.5%","±0.1","103,356","±2,815","4.9%","±0.1","1,039,067","±2,438","5.2%","±0.1","604,897","±4,976","5.5%","±0.1","43,600","±1,828","5.5%","±0.2","652,242","±3,343","5.5%","±0.1","241,245","±1,840","5.9%","±0.1","197,191","±2,283","4.6%","±0.1","660,513","±2,532","5.1%","±0.1","51,425","±1,156","4.6%","±0.1","293,334","±3,286","5.4%","±0.1","53,584","±1,495","5.8%","±0.2","410,205","±3,709","5.7%","±0.1","1,951,749","±6,232","6.2%","±0.1","229,016","±2,064","6.5%","±0.1","26,820","±1,086","4.1%","±0.2","471,514","±4,203","5.4%","±0.1","418,515","±2,446","5.3%","±0.1","86,422","±2,206","4.9%","±0.1","303,044","±1,863","5.1%","±0.1","28,344","±1,168","4.8%","±0.2","90,280","±2,428","2.8%","±0.1"
"        5 to 9 years","312,813","±8,424","6.1%","±0.2","46,547","±2,971","6.3%","±0.4","415,119","±8,605","5.5%","±0.1","194,255","±6,339","6.3%","±0.2","2,257,499","±19,874","5.7%","±0.1","323,548","±7,846","5.4%","±0.1","196,526","±5,925","5.3%","±0.2","57,714","±3,688","5.5%","±0.4","40,844","±3,529","5.8%","±0.5","1,209,854","±18,573","5.2%","±0.1","685,711","±13,984","6.1%","±0.1","86,743","±3,792","6.0%","±0.3","126,464","±4,475","6.3%","±0.2","748,386","±12,399","5.9%","±0.1","429,402","±9,785","6.2%","±0.1","196,600","±5,629","6.1%","±0.2","180,310","±6,426","6.1%","±0.2","270,128","±8,424","5.9%","±0.2","293,400","±8,704","6.4%","±0.2","72,063","±3,490","5.1%","±0.2","374,228","±9,160","6.0%","±0.1","360,104","±8,110","5.0%","±0.1","573,436","±9,658","5.7%","±0.1","356,597","±7,680","6.2%","±0.1","174,865","±6,885","5.9%","±0.2","370,752","±8,604","5.9%","±0.1","64,466","±3,427","5.7%","±0.3","133,424","±4,579","6.7%","±0.2","184,454","±7,481","5.6%","±0.2","64,135","±3,275","4.6%","±0.2","545,799","±11,106","5.7%","±0.1","112,610","±5,227","5.3%","±0.2","1,069,087","±15,078","5.4%","±0.1","648,697","±12,409","5.9%","±0.1","49,702","±2,901","6.2%","±0.4","720,032","±13,020","6.1%","±0.1","266,035","±5,345","6.5%","±0.1","224,138","±5,992","5.2%","±0.1","714,860","±11,942","5.5%","±0.1","53,158","±3,811","4.8%","±0.3","306,463","±8,028","5.6%","±0.1","60,056","±3,318","6.5%","±0.4","417,746","±11,659","5.8%","±0.2","2,103,565","±21,264","6.7%","±0.1","250,150","±7,537","7.1%","±0.2","29,754","±2,159","4.6%","±0.3","514,461","±10,029","5.8%","±0.1","466,661","±9,785","5.9%","±0.1","84,907","±4,005","4.8%","±0.2","336,976","±7,989","5.7%","±0.1","31,498","±2,282","5.4%","±0.4","123,329","±5,468","3.9%","±0.2"
"        10 to 14 years","328,997","±8,785","6.4%","±0.2","53,079","±3,110","7.2%","±0.4","477,222","±8,342","6.3%","±0.1","200,474","±7,070","6.5%","±0.2","2,500,710","±20,168","6.3%","±0.1","352,668","±8,727","5.9%","±0.1","211,069","±5,694","5.7%","±0.2","62,720","±3,707","6.0%","±0.4","31,330","±3,541","4.5%","±0.5","1,318,374","±18,673","5.6%","±0.1","756,146","±13,644","6.8%","±0.1","81,872","±3,539","5.7%","±0.2","141,082","±5,011","7.0%","±0.3","780,742","±12,052","6.1%","±0.1","456,769","±10,080","6.6%","±0.1","213,055","±5,245","6.6%","±0.2","208,378","±6,460","7.0%","±0.2","300,036","±8,214","6.5%","±0.2","309,524","±9,235","6.7%","±0.2","68,336","±3,295","4.9%","±0.2","395,317","±9,372","6.3%","±0.1","396,840","±8,238","5.6%","±0.1","614,522","±9,706","6.1%","±0.1","380,214","±7,118","6.6%","±0.1","200,709","±6,838","6.8%","±0.2","401,895","±9,926","6.4%","±0.2","68,138","±3,433","6.0%","±0.3","136,906","±4,411","6.8%","±0.2","207,235","±7,470","6.3%","±0.2","75,273","±3,430","5.3%","±0.2","602,670","±11,342","6.3%","±0.1","140,563","±5,916","6.6%","±0.3","1,162,399","±15,844","5.9%","±0.1","665,306","±13,093","6.0%","±0.1","55,415","±3,643","7.0%","±0.5","726,058","±12,600","6.1%","±0.1","280,257","±5,288","6.8%","±0.1","247,898","±6,062","5.8%","±0.1","765,894","±11,787","5.9%","±0.1","60,206","±3,711","5.4%","±0.3","335,351","±7,733","6.1%","±0.1","63,718","±3,428","6.9%","±0.4","459,575","±11,507","6.4%","±0.2","2,215,238","±20,491","7.1%","±0.1","274,337","±7,109","7.8%","±0.2","33,752","±2,268","5.2%","±0.3","546,617","±10,226","6.2%","±0.1","472,576","±9,666","5.9%","±0.1","108,174","±4,276","6.1%","±0.2","360,640","±7,429","6.1%","±0.1","40,087","±2,337","6.8%","±0.4","160,119","±5,688","5.0%","±0.2"
"        15 to 19 years","358,378","±6,567","6.9%","±0.1","47,163","±2,256","6.4%","±0.3","506,259","±4,238","6.7%","±0.1","213,047","±5,139","6.9%","±0.2","2,641,200","±5,920","6.7%","±0.1","376,768","±4,493","6.3%","±0.1","241,497","±3,310","6.6%","±0.1","66,217","±2,238","6.3%","±0.2","37,960","±1,898","5.4%","±0.3","1,362,318","±7,709","5.8%","±0.1","784,334","±9,568","7.0%","±0.1","79,626","±2,145","5.5%","±0.1","146,348","±3,338","7.3%","±0.2","835,057","±4,636","6.6%","±0.1","480,835","±5,599","6.9%","±0.1","226,814","±4,381","7.0%","±0.1","213,250","±4,445","7.2%","±0.1","309,599","±4,767","6.7%","±0.1","310,430","±6,660","6.8%","±0.1","80,330","±2,187","5.7%","±0.2","401,855","±4,241","6.4%","±0.1","462,859","±4,423","6.5%","±0.1","652,892","±6,088","6.4%","±0.1","387,902","±3,994","6.7%","±0.1","222,194","±7,838","7.5%","±0.3","407,725","±5,567","6.5%","±0.1","73,109","±2,892","6.4%","±0.3","143,504","±3,264","7.2%","±0.2","198,766","±2,349","6.1%","±0.1","86,606","±2,716","6.1%","±0.2","591,822","±4,977","6.2%","±0.1","142,976","±3,980","6.7%","±0.2","1,209,141","±5,964","6.1%","±0.1","730,298","±8,999","6.6%","±0.1","55,036","±3,164","6.9%","±0.4","776,171","±5,521","6.5%","±0.1","293,519","±3,413","7.2%","±0.1","258,469","±3,471","6.0%","±0.1","856,231","±6,012","6.5%","±0.1","74,539","±2,598","6.7%","±0.2","370,185","±6,642","6.8%","±0.1","65,617","±2,488","7.1%","±0.3","463,487","±6,774","6.4%","±0.1","2,269,275","±11,520","7.3%","±0.1","290,563","±3,162","8.3%","±0.1","42,352","±2,222","6.5%","±0.3","585,661","±7,916","6.6%","±0.1","478,651","±5,029","6.0%","±0.1","113,272","±3,280","6.4%","±0.2","386,359","±4,100","6.5%","±0.1","41,098","±2,065","7.0%","±0.4","188,887","±6,169","5.9%","±0.2"
"        20 to 24 years","331,692","±6,267","6.4%","±0.1","50,498","±2,169","6.8%","±0.3","520,068","±4,103","6.9%","±0.1","205,309","±5,327","6.6%","±0.2","2,572,905","±6,376","6.5%","±0.1","393,084","±4,888","6.6%","±0.1","240,070","±3,904","6.5%","±0.1","63,767","±2,365","6.1%","±0.2","51,246","±1,866","7.3%","±0.3","1,361,088","±9,275","5.8%","±0.1","753,379","±11,413","6.7%","±0.1","84,875","±2,246","5.9%","±0.2","141,723","±3,943","7.1%","±0.2","841,408","±5,201","6.6%","±0.1","468,144","±5,497","6.8%","±0.1","226,569","±4,327","7.0%","±0.1","211,120","±4,785","7.1%","±0.2","300,912","±5,270","6.6%","±0.1","296,434","±5,816","6.4%","±0.1","75,917","±2,276","5.4%","±0.2","376,761","±4,434","6.0%","±0.1","495,030","±3,779","6.9%","±0.1","672,333","±4,773","6.6%","±0.1","367,393","±4,834","6.3%","±0.1","197,983","±5,660","6.7%","±0.2","418,812","±6,179","6.7%","±0.1","73,816","±3,140","6.5%","±0.3","143,303","±3,162","7.1%","±0.2","189,598","±2,546","5.8%","±0.1","83,273","±2,955","5.9%","±0.2","577,739","±5,048","6.1%","±0.1","145,235","±4,795","6.8%","±0.2","1,269,486","±5,478","6.4%","±0.1","750,306","±9,379","6.8%","±0.1","61,599","±3,290","7.7%","±0.4","755,491","±6,094","6.4%","±0.1","287,093","±4,293","7.0%","±0.1","259,722","±4,169","6.1%","±0.1","815,898","±6,013","6.2%","±0.1","75,910","±2,622","6.8%","±0.2","347,622","±7,093","6.3%","±0.1","58,398","±2,850","6.3%","±0.3","480,179","±6,665","6.6%","±0.1","2,174,045","±12,165","6.9%","±0.1","306,343","±3,700","8.7%","±0.1","41,468","±1,999","6.4%","±0.3","580,114","±8,696","6.6%","±0.1","490,317","±4,566","6.2%","±0.1","108,515","±2,536","6.1%","±0.1","401,318","±4,167","6.7%","±0.1","37,247","±2,390","6.3%","±0.4","212,615","±5,985","6.6%","±0.2"
