data_year,suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
2024,2,189903360,0.170,1,18596848
2024,1,189903259,3.550,1,18596837
2024,8,189903879,0.590,1,18596891
2024,12,189907492,1.270,1,18597328
2024,16,190889937,2.570,1,18736165
2024,12,190219365,1.220,1,18635836
2024,12,189903516,0.990,1,18596862
2024,12,189903349,239.330,1,18596847
2024,12,189903487,1.050,1,18596859
2024,12,189903429,1.620,1,18596851
2024,12,189903345,0.720,1,18596845
2024,16,189903345,0.190,1,18596846
2024,12,189907515,0.850,1,18597330
2024,4,189903472,3.000,1,18596855
2024,12,189903472,30.000,1,18596856
2024,16,189903472,30.000,1,18596857
2024,12,189903968,2.780,1,18596902
2024,12,189903315,7.810,1,18596844
2024,12,190088290,4.900,1,18619560
2024,8,189904842,0.900,1,18596998
2024,12,189907488,1.600,1,18597327
2024,7,190323144,0.440,1,18652583
2024,12,190324357,0.620,1,18652736
2024,16,190324357,2.050,1,18652737
2024,5,190323162,50.000,1,18652586
2024,7,190323141,0.290,1,18652581
2024,12,190323286,0.240,1,18652602
2024,16,190323102,1.000,9,18652573
2024,12,190456339,0.080,1,18670100
2024,7,190323164,0.600,1,18652587
2024,12,190323254,114.870,1,18652600
2024,11,190323229,0.030,1,18652594
2024,8,190323189,0.450,1,18652589
2024,12,190323134,3.190,1,18652579
2024,16,190323134,0.330,1,18652580
2024,1,190324073,0.050,1,18652682
2024,16,190323281,40.000,9,18652601
2024,12,190323123,67.440,1,18652576
2024,12,190537804,2.240,1,18683754
2024,12,190323156,0.950,1,18652584
2024,15,190516188,0.120,1,18679892
2024,15,190536301,2.930,1,18683607
2024,16,190324356,0.500,1,18652735
2024,7,190323178,2.980,1,18652588
2024,12,190323117,0.340,1,18652575
2024,12,190323133,0.580,1,18652578
2024,12,190323142,5.220,1,18652582
2024,12,190323099,1.540,1,18652572
2024,12,190323234,1.020,2,18652595
2024,8,190323193,1.512,1,18652590
2024,12,190323193,8.496,1,18652591
2024,8,190323250,1.104,1,18652596
2024,16,190323250,1.002,1,18652597
