yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
18262024,1826,2024,CO0010000,CO0010000,,N,N,,I,ADAMS,ADAMS,Adams,,A,7,Colorado,CO,CO,8,Mountain,4,West,Region IV,County,103829,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,Y,19,9A,"MSA counties 100,000 or over",9,MSA Counties,Y,19,,Y,322,85,407,66,151,217,3.7,6.0,1992-01-01,1997-01-01,2003-03-01,2014-02-01,2016-01-01,2013-04-01,N,ADAMS,"Denver-Aurora-Centennial, CO",Y,Y,Y
18272024,1827,2024,CO0010100,CO0010100,,N,N,,I,AURORA,AURORA,Aurora,,A,7,Colorado,CO,CO,8,Mountain,4,West,Region IV,City,397852,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,N,5,1C,"Cities from 250,000 thru 499,999",1,"All cities 250,000 or over",Y,5,,Y,602,56,658,71,136,207,1.7,2.2,1992-01-01,1985-01-01,2003-03-01,2014-02-01,2016-01-01,2013-04-01,N,"ADAMS, ARAPAHOE, DOUGLAS","Denver-Aurora-Centennial, CO",Y,Y,Y
18282024,1828,2024,CO0010200,CO0010200,,N,N,,I,BRIGHTON,BRIGHTON,Brighton,,A,7,Colorado,CO,CO,8,Mountain,4,West,Region IV,City,43231,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,65,5,70,16,32,48,1.9,2.7,1992-01-01,2004-09-01,2006-01-01,2014-02-01,2016-01-01,2013-04-01,N,"ADAMS, WELD","Denver-Aurora-Centennial, CO",Y,Y,Y
18292024,1829,2024,CO0010300,CO0010300,,N,N,,I,COMMERCE CITY,COMMERCE CITY,Commerce City,,A,7,Colorado,CO,CO,8,Mountain,4,West,Region IV,City,70170,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,N,7,3,"Cities from 50,000 thru 99,999",3,"Cities from 50,000 thru 99,999",N,7,,Y,91,15,106,18,32,50,1.6,2.2,1992-01-01,1997-01-01,2003-03-01,2014-02-01,2016-01-01,2013-04-01,N,ADAMS,"Denver-Aurora-Centennial, CO",Y,Y,Y
18302024,1830,2024,CO0010400,CO0010400,,N,N,,I,THORNTON,THORNTON,Thornton,,A,7,Colorado,CO,CO,8,Mountain,4,West,Region IV,City,145847,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,N,6,2,"Cities from 100,000 thru 249,999",2,"Cities from 100,000 thru 249,999",Y,6,,Y,200,16,216,48,71,119,1.7,2.3,1992-01-01,2012-01-01,2012-09-01,2014-07-01,2016-02-01,2013-04-01,N,ADAMS,"Denver-Aurora-Centennial, CO",Y,Y,Y
18312024,1831,2024,CO0010500,CO0010500,,N,N,,I,WESTMINSTER,WESTMINSTER,Westminster,,A,7,Colorado,CO,CO,8,Mountain,4,West,Region IV,City,114310,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,N,6,2,"Cities from 100,000 thru 249,999",2,"Cities from 100,000 thru 249,999",Y,6,,Y,177,23,200,16,66,82,1.7,2.5,1992-01-01,1997-01-01,2004-08-01,2014-02-01,2016-01-01,2013-04-01,N,"ADAMS, JEFFERSON","Denver-Aurora-Centennial, CO",Y,Y,Y
18322024,1832,2024,CO0010600,CO0010600,,N,N,,I,NORTHGLENN,NORTHGLENN,Northglenn,,A,7,Colorado,CO,CO,8,Mountain,4,West,Region IV,City,38210,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,63,7,70,13,17,30,2.0,2.6,1992-01-01,1997-01-01,2003-03-01,2014-02-01,2016-01-01,2014-02-01,N,"ADAMS, WELD","Denver-Aurora-Centennial, CO",Y,Y,Y
18342024,1834,2024,CO0010800,CO0010800,,N,N,,I,FEDERAL HEIGHTS,FEDERAL HEIGHTS,Federal Heights,,A,7,Colorado,CO,CO,8,Mountain,4,West,Region IV,City,13796,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,26,6,32,2,8,10,2.0,3.0,1992-01-01,1997-01-01,2006-02-01,2014-02-01,2016-01-01,2013-04-01,N,ADAMS,"Denver-Aurora-Centennial, CO",Y,Y,Y
18352024,1835,2024,CO0011100,CO0011100,,N,N,,I,UNIV OF CO: DENVER,UNIV OF CO: DENVER,University of Colorado:,Denver,A,7,Colorado,CO,CO,8,Mountain,4,West,Region IV,University or College,0,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,21,22,43,4,13,17,0,0,1992-01-01,2002-01-01,2003-03-01,2014-02-01,2016-01-01,2013-04-01,N,ADAMS,"Denver-Aurora-Centennial, CO",Y,Y,Y
18362024,1836,2024,CO0020000,CO0020000,,N,N,,I,ALAMOSA,ALAMOSA,Alamosa,,A,7,Colorado,CO,CO,8,Mountain,4,West,Region IV,County,6978,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,21,19,40,5,16,21,3.7,8.7,1992-01-01,1997-01-01,2003-03-01,2014-02-01,2016-01-01,2013-04-01,N,ALAMOSA,Not Specified,Y,Y,Y
