data_year,groupb_arrestee_id,arrestee_seq_num,arrest_date,arrest_type_id,offense_code,age_id,age_num,sex_code,race_id,ethnicity_id,resident_code,under_18_disposition_code,age_range_low_num,age_range_high_num
2024,51903888,1,2024-01-01,3,90D,31,28,M,10,10,N,,,
2024,51903890,1,2024-01-02,2,90Z,32,29,M,10,10,R,,,
2024,51903916,1,2024-01-15,3,90D,38,35,F,30,20,R,,,
2024,51903918,1,2024-01-16,3,90Z,36,33,M,10,10,R,,,
2024,51903946,1,2024-01-27,3,90Z,47,44,M,10,10,R,,,
2024,51903951,1,2024-01-29,3,90D,28,25,M,10,20,R,,,
2024,51903889,1,2024-01-01,3,90D,30,27,M,30,20,R,,,
2024,51903893,1,2024-01-04,2,90Z,39,36,M,10,10,R,,,
2024,51903895,1,2024-01-04,3,90F,40,37,F,98,40,R,,,
2024,51903899,1,2024-01-05,3,90D,45,42,M,30,20,R,,,
2024,51903905,1,2024-01-10,3,90D,43,40,F,10,20,R,,,
2024,51903925,1,2024-01-20,2,90C,51,48,F,10,10,R,,,
2024,51903935,1,2024-01-22,2,90J,47,44,M,10,10,R,,,
2024,51903943,1,2024-01-26,3,90D,49,46,M,10,20,R,,,
2024,51903937,1,2024-01-22,3,90Z,36,33,M,30,40,U,,,
2024,51903941,1,2024-01-23,3,90Z,29,26,M,20,20,R,,,
2024,51903948,1,2024-01-28,3,90D,21,18,M,10,10,R,,,
2024,51903954,1,2024-01-30,2,90J,27,24,M,98,40,R,,,
2024,51903917,1,2024-01-15,3,90J,37,34,M,10,40,U,,,
2024,51903921,1,2024-01-17,3,90D,72,69,M,10,40,R,,,
2024,51903891,1,2024-01-03,3,90D,26,23,F,10,20,R,,,
2024,51903898,1,2024-01-05,3,90D,56,53,M,10,20,R,,,
2024,51903907,1,2024-01-11,2,90F,21,18,M,10,10,R,,,
2024,51903950,1,2024-01-28,3,90J,40,37,M,10,10,R,,,
2024,51903896,1,2024-01-05,3,90D,26,23,M,10,10,R,,,
2024,51903904,1,2024-01-10,2,90J,31,28,M,10,10,R,,,
2024,51903908,1,2024-01-11,2,90C,40,37,M,30,20,R,,,
2024,51903911,1,2024-01-12,3,90D,38,35,M,10,10,R,,,
2024,51903919,1,2024-01-17,3,90D,27,24,M,10,20,R,,,
2024,51903923,1,2024-01-19,2,90J,40,37,M,10,10,R,,,
2024,51903930,1,2024-01-21,3,90D,31,28,F,10,10,R,,,
2024,51903944,1,2024-01-26,3,90D,38,35,F,10,20,R,,,
2024,51903900,1,2024-01-07,3,90D,45,42,M,10,10,R,,,
2024,51903902,1,2024-01-10,3,90Z,37,34,F,10,10,R,,,
2024,51903909,1,2024-01-11,3,90D,53,50,M,10,10,R,,,
2024,51903913,1,2024-01-15,3,90D,29,26,M,10,40,R,,,
2024,51903922,1,2024-01-18,3,90D,47,44,M,30,20,R,,,
2024,51903929,1,2024-01-20,3,90D,59,56,M,10,20,R,,,
2024,51903934,1,2024-01-21,3,90F,36,33,M,10,10,R,,,
2024,51903886,1,2024-01-01,1,90D,64,61,M,10,10,R,,,
2024,51903894,1,2024-01-04,3,90D,51,48,M,10,20,R,,,
2024,51903912,1,2024-01-13,3,90D,33,30,M,10,20,R,,,
2024,51903914,1,2024-01-15,2,90J,46,43,M,10,10,R,,,
2024,51903926,1,2024-01-20,3,90D,28,25,F,10,20,R,,,
2024,51903932,1,2024-01-21,3,90D,28,25,F,10,10,R,,,
2024,51903933,1,2024-01-22,3,90J,49,46,M,30,20,N,,,
2024,51903939,1,2024-01-23,2,90J,30,27,M,10,10,R,,,
2024,51903938,1,2024-01-22,2,90Z,26,23,M,20,20,R,,,
2024,51903942,1,2024-01-25,3,90D,42,39,F,10,20,R,,,
2024,51903952,1,2024-01-29,3,90G,45,42,M,10,10,R,,,
2024,52193216,1,2024-01-15,3,90D,77,74,M,10,10,R,,,
2024,52193223,1,2024-01-27,3,90D,31,28,F,98,40,R,,,
2024,52193217,1,2024-01-18,3,90D,44,41,M,10,40,R,,,
2024,52193221,1,2024-01-26,3,90D,57,54,M,10,10,R,,,
2024,52193224,1,2024-01-29,3,90D,26,23,M,10,10,R,,,
2024,52193210,1,2024-01-24,2,90D,43,40,F,10,20,R,,,
2024,52193215,1,2024-01-05,3,90D,64,61,M,10,10,R,,,
2024,52193218,1,2024-01-24,3,90D,24,21,M,10,10,R,,,
2024,52193219,1,2024-01-25,3,90D,31,28,M,98,40,R,,,
2024,52193220,1,2024-01-25,3,90D,35,32,M,10,10,R,,,
2024,52193222,1,2024-01-26,3,90D,25,22,M,30,20,R,,,
2024,52193225,1,2024-01-30,3,90Z,33,30,M,10,10,R,,,
2024,52193227,1,2024-01-31,3,90D,53,50,M,10,40,R,,,
