data_year,property_id,prop_desc_id,property_value,date_recovered,nibrs_prop_desc_id
2024,185267314,19,2654,,
2024,179566951,29,2000,,
2024,179566951,35,500,,
2024,179566953,8,362,,
2024,179566954,3,1,,
2024,179566955,31,1,,
2024,179566956,3,1,,
2024,179566958,31,1500,,
2024,179566959,64,4146,,
2024,179566960,38,450,,
2024,179566961,51,0,,
2024,179566963,38,750,,
2024,179566964,3,1,,
2024,179566964,36,4000,,
2024,179566965,31,1,,
2024,179566967,21,1800,,
2024,179566969,63,500,,
2024,179566970,42,250,,
2024,179566971,16,1600,,
2024,179566971,47,0,,
2024,179566971,51,0,,
2024,179566971,63,240,,
2024,179566973,63,1,,
2024,179566974,24,1,,
2024,179566975,38,1000,,
2024,179566976,3,1,2024-01-02,
2024,179566977,10,,,
2024,179566978,42,500,,
2024,179566979,61,1400,,
2024,179566980,3,1,2024-01-03,
2024,179566981,10,,,
2024,179566982,3,1,,
2024,179566983,3,1001,,
2024,179566986,3,1,,
2024,179566987,63,8138,,
2024,179566988,57,500,,
2024,179566990,36,210,,
2024,179566990,47,0,,
2024,179566990,63,400,,
2024,179566991,24,600,,
2024,179566992,36,1370,,
2024,179566992,38,600,,
2024,179566993,24,1,,
2024,179566993,64,1000,,
2024,179566994,3,1,,
2024,179566994,10,,,
2024,179566995,63,1,,
2024,179566996,8,701,,
2024,179566998,23,5500,,
2024,179566998,27,10500,,
2024,179566998,31,2000,,
2024,179566999,8,4000,,
2024,179566999,20,869,,
2024,179567000,35,100,,
2024,179567001,31,500,,
2024,179567001,35,1,,
2024,179567001,63,1000,,
2024,179567002,2,1,,
2024,179567002,16,200,,
2024,179567002,20,340,,
2024,179567002,21,1,,
2024,179567002,47,0,,
2024,179567003,21,405,,
2024,179567004,3,1,2024-01-15,
2024,179567005,3,1,,
2024,179567007,63,647,,
2024,179567008,36,1500,,
2024,179567008,63,950,,
2024,179567009,63,1,,
2024,179567010,25,1200,,
2024,179567010,36,200,,
2024,179567010,63,925,,
2024,179567011,63,134,,
2024,179567012,3,1,2024-01-04,
2024,179567013,10,,,
2024,179567015,10,,,
2024,179567015,20,11,,
2024,179567016,29,500,,
2024,179567018,3,400,,
2024,181156365,19,565,,
2024,179567021,10,,,
2024,179567023,3,1,,
2024,182624332,3,1,2024-03-12,
2024,182624333,3,1,,
2024,179567026,3,6000,2024-01-06,
2024,179567027,10,,,
2024,179567028,3,6000,,
2024,179567028,20,5000,,
2024,179567028,26,1300,,
2024,179567031,3,1,,
2024,179567032,3,125000,,
2024,179567033,42,500,,
2024,179567034,63,9,,
2024,179567035,8,13,,
2024,179567036,61,100,2024-01-07,
2024,179567037,61,100,,
2024,179567039,3,1500,,
2024,179567041,3,13000,,
2024,179567042,22,0,,
2024,179567043,8,43,2024-01-08,
2024,179567043,19,105,2024-01-08,
2024,179567044,8,43,,
2024,179567044,19,105,,
2024,179567045,15,15000,,
2024,179567046,57,100,,
2024,179567047,38,1,2024-01-09,
2024,179567048,38,1,,
2024,179567050,13,700,,
2024,179567050,26,3000,,
2024,179567050,36,3100,,
2024,179567050,62,400,,
2024,179567051,3,1,2024-01-08,
2024,179567052,3,500,,
2024,179567052,35,484,,
2024,179567053,36,500,,
2024,179567054,29,1600,,
2024,179567054,63,300,,
2024,179567055,17,1,,
2024,179567057,19,74,,
2024,179567058,8,1840,,
2024,179567058,19,160,,
2024,199164717,10,,,
2024,179567060,3,1,,
2024,179567061,6,75,,
2024,179567062,10,,,
2024,179567062,11,1,,
2024,179567063,19,100,,
2024,179567064,2,70,,
2024,179567065,3,1,2024-01-09,
2024,179567066,10,,,
2024,179567069,3,1,2024-01-09,
2024,179567070,10,,,
2024,179567070,48,1,,
2024,181156368,63,1000,,
2024,181156369,3,15000,2024-01-10,
2024,181156370,3,15000,,
2024,179567074,3,230,,
2024,179567077,3,1,,
2024,179567078,63,1,,
2024,179567080,63,1,,
2024,179567081,50,1,,
2024,179567082,19,718,,
2024,182624334,7,600,,
2024,182624334,13,1000,,
2024,182624334,63,350,,
2024,179567084,11,10,,
2024,179567085,3,1,,
2024,179567086,3,1,2024-01-12,
2024,179567087,3,1,,
2024,179567088,3,1001,,
2024,179567089,63,500,,
2024,179567090,3,1,,
2024,179567091,3,1,2024-01-11,
2024,179567091,38,1,2024-01-11,
2024,179567092,16,1,,
2024,179567093,10,,,
2024,179567094,3,1,2024-01-12,
2024,179567095,10,,,
2024,179567095,13,1,,
2024,179567096,10,,,
2024,179567097,3,500,,
2024,179567098,26,300,,
2024,179567098,63,200,,
2024,179567099,63,500,,
2024,179567100,22,0,,
2024,179567101,20,350,,
2024,179567102,63,218,2024-01-12,
2024,179567103,63,218,,
2024,179567104,19,100,,
2024,179567105,37,1,,
2024,179567106,63,418,,
2024,179567107,19,100,,
2024,179567108,19,140,,
2024,179567109,19,54,2024-01-12,
2024,179567110,10,,,
2024,179567110,11,1,,
2024,179567110,51,0,,
2024,179567110,63,1,,
2024,179567111,19,54,,
2024,179567112,4,500,,
2024,179567112,20,50,,
2024,179567112,26,50,,
2024,179567112,66,100,,
2024,179567113,3,1,,
2024,179567114,3,1,,
2024,179567118,3,1,,
2024,179567118,6,1,,
2024,179567118,36,1,,
2024,179567118,63,3000,,
2024,179567119,10,,,
2024,179567120,3,1,2024-01-17,
2024,179567121,3,1,,
2024,179567121,7,1,,
2024,179567121,20,1,,
2024,179567121,51,0,,
2024,179567122,9,0,,
2024,179567123,13,3500,,
2024,179567123,49,1,,
2024,179567124,29,402,,
2024,179567125,63,250,,
2024,179567126,19,27,,
2024,179567127,38,1,,
2024,179567129,3,1,,
2024,179567130,7,300,,
2024,179567131,3,1001,,
2024,179567132,19,400,,
2024,179567133,3,500,,
2024,179567134,38,10600,,
2024,179567135,63,1,,
2024,179567136,10,,,
2024,179567136,11,1,,
2024,179567137,19,100,,
2024,179567138,63,499,,
2024,179567139,3,1,,
2024,179567140,38,1,,
2024,179567141,10,,,
2024,179567142,29,5000,,
2024,179567143,3,1001,,
2024,179567144,35,1,,
2024,179567145,2,51,,
2024,179567145,63,2,,
2024,179567146,2,46,,
2024,179567147,16,1,,
2024,179567147,63,28,,
2024,179567148,3,8000,,
2024,179567149,10,,,
2024,181156372,3,1,,
2024,181156372,10,,,
2024,181156372,11,1,,
2024,179567150,3,30000,2024-01-16,
2024,179567151,3,30000,,
2024,179567152,10,,,
2024,179567152,11,1,,
2024,181156375,38,1,,
2024,179567156,63,300,,
2024,179567157,15,1,,
2024,189482641,63,500,,
2024,179567158,3,1001,,
2024,179567158,63,25,,
2024,179567159,19,270,,
2024,179567161,8,100,,
2024,179567162,20,2000,,
2024,181156376,35,999,,
2024,179567164,31,1500,,
2024,179567165,3,1,,
2024,179567165,36,1,,
2024,181156377,42,500,,
2024,179567167,20,6784,,
2024,179567168,10,,,
2024,179567169,3,1,2024-01-17,
2024,181156379,3,1,2024-01-17,
2024,181156380,10,,,
2024,181156380,11,1,,
2024,179567170,13,1,2024-01-18,
2024,179567171,10,,,
2024,179567171,48,1,,
2024,181156382,16,210,,
2024,181156382,36,100,,
2024,181156382,42,200,,
2024,181156382,63,1,,
2024,182624335,63,6100,,
2024,179567175,28,24000,2024-01-17,
2024,179567176,10,,,
2024,181156385,19,168,2024-01-17,
2024,181156386,10,,,
2024,181156386,11,1,,
2024,181156387,19,168,,
2024,179567179,19,460,,
2024,179567179,63,44,,
2024,179567180,19,50,,
2024,179567181,61,415,,
2024,181156388,25,1,,
2024,181156388,51,0,,
2024,181156388,61,430,,
2024,181156388,63,1,,
2024,179567182,63,354,2024-01-17,
2024,179567183,63,354,,
2024,179567184,10,,,
2024,179567184,11,1,,
2024,179567185,3,1,2024-01-18,
2024,179567186,10,,,
2024,179567187,35,70000,,
2024,179567188,28,1,,
2024,179567188,38,1000,,
2024,179567189,4,1100,,
2024,179567189,7,1400,,
2024,179567189,8,300,,
2024,179567189,16,100,,
2024,179567189,63,120,,
2024,181156391,26,200,,
2024,179567190,3,1,,
2024,179567191,20,1346,,
2024,179567192,3,1,,
2024,179567192,38,1,,
2024,179567193,3,1,2024-01-18,
2024,179567194,10,,,
2024,179567195,3,1,,
2024,181156393,10,,,
2024,179567196,24,1,2024-01-18,
2024,179567197,10,,,
2024,181156394,3,300,,
2024,179567198,3,1,2024-01-19,
2024,179567199,3,1,,
2024,181156397,10,,,
2024,179567200,10,,,
2024,179567201,13,500,,
2024,179567202,16,860,,
2024,179567204,36,3000,,
2024,179567205,38,1,2024-01-19,
2024,179567206,38,1,,
2024,179567207,10,,,
2024,179567209,63,1,,
2024,179567211,19,25,,
2024,179567212,2,26,,
2024,181156400,38,1,,
2024,181156401,3,800,,
2024,179567216,52,0,,
2024,185267315,3,1,,
2024,185267315,29,1,,
2024,179567220,3,1,2024-01-20,
2024,181156403,10,,,
2024,179567221,8,300,,
2024,181156404,48,1,,
2024,181156404,63,1,,
2024,179567223,24,1,,
2024,181156405,24,1,,
2024,179567226,63,56,2024-01-20,
2024,179567227,63,56,,
2024,181156406,3,1,2024-01-20,
2024,181156406,19,68,2024-01-20,
2024,181156407,19,68,,
2024,179567228,19,980,,
2024,179567230,10,,,
2024,179567230,11,1,,
2024,181156408,2,6,,
2024,181156411,63,1,,
2024,179567233,10,,,
2024,179567235,3,1,,
2024,179567235,10,,,
2024,179567235,11,1,,
2024,179567235,13,1,,
2024,181156414,3,4,,
