data_year,suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
2024,12,179566977,10.800,1,17047264
2024,8,179566981,1.000,9,17047265
2024,12,179566981,2.000,1,17047266
2024,12,179566994,1.000,1,17047267
2024,8,179567013,12.000,9,17047268
2024,12,179567013,1.000,1,17047269
2024,12,179567015,2.000,1,17047270
2024,12,179567021,11.500,1,17047272
2024,12,179567027,2.000,9,17047273
2024,8,179567027,12.000,9,17047274
2024,8,199164717,11.170,1,19919717
2024,8,179567062,0.700,1,17047275
2024,8,179567066,3.000,9,17047276
2024,2,179567070,12.000,1,17047277
2024,8,179567093,3.000,9,17047278
2024,8,179567095,29.000,9,17047279
2024,12,179567096,13.000,1,17047280
2024,12,179567110,1.300,1,17047281
2024,8,179567119,1.000,9,17047282
2024,8,179567136,2.000,9,17047283
2024,8,179567141,12.000,9,17047284
2024,8,179567149,3.000,9,17047285
2024,12,179567149,1.000,1,17047286
2024,4,181156372,6.100,1,17267361
2024,12,181156372,0.700,1,17267362
2024,15,181156372,2.500,9,17267363
2024,12,179567152,1.000,9,17047287
2024,8,179567152,24.000,9,17047288
2024,12,179567168,0.500,1,17047289
2024,12,181156380,3.000,1,17267364
2024,12,179567171,2.900,1,17047290
2024,12,179567176,2.200,1,17047291
2024,2,181156386,1.000,1,17267365
2024,8,179567184,6.500,9,17047292
2024,12,179567186,0.900,1,17047293
2024,12,179567194,5.000,1,17047294
2024,8,181156393,71.000,9,17267366
2024,2,179567197,3.300,1,17047295
2024,17,181156397,6.250,1,17267367
2024,2,179567200,1.000,1,17047296
2024,5,179567207,1.000,3,17047297
2024,2,181156403,2.000,1,17267369
2024,8,179567230,1.000,11,17047299
2024,8,179567233,3.000,9,17047300
2024,12,179567235,3.850,1,17047301
2024,8,179567235,9.750,1,17047302
2024,16,179567235,2.000,9,17047303
2024,8,179567257,3.000,9,17047304
2024,12,179567295,2.000,1,17047305
2024,8,179567295,8.000,9,17047306
2024,8,179567300,2.000,9,17047307
2024,2,181156428,24.900,1,17267370
2024,17,181156428,10.200,1,17267371
2024,12,179567313,18.400,1,17047308
2024,4,179567313,0.300,1,17047309
2024,8,179567313,4.000,9,17047310
2024,8,179567316,1.000,11,17047311
2024,12,181156444,0.200,3,17267375
2024,8,181156447,23.000,9,17267376
2024,8,181156448,3.000,9,17267377
2024,12,181156452,1.000,1,17267378
2024,8,181156452,6.000,9,17267379
2024,5,179567334,36.000,1,17047312
2024,5,179567334,1.000,11,17047313
2024,12,181156481,1.200,1,17267381
2024,5,181156487,1.000,9,17267382
2024,4,181156487,19.500,1,17267383
2024,12,181156487,114.000,1,17267384
2024,8,181156553,1.000,1,17267390
2024,12,181156553,2.080,1,17267391
2024,8,181156573,6.000,9,17267394
2024,8,199164718,1.000,9,19919718
2024,8,181156584,3.000,9,17267396
2024,8,181156595,1.000,9,17267398
2024,12,181156610,17.100,1,17267399
2024,8,181156610,40.000,9,17267400
2024,12,183824105,2.790,1,17671934
2024,8,181156643,41.200,1,17267403
2024,12,181156643,11.000,1,17267404
2024,2,181156644,0.500,1,17267405
2024,12,183824120,1.510,1,17671936
2024,12,181156663,1.000,1,17267406
2024,12,181156664,0.500,1,17267407
2024,8,181156669,1.000,9,17267408
2024,8,181156678,2.600,1,17267409
2024,12,181156685,1.000,9,17267410
2024,8,181156687,42.000,9,17267411
2024,12,181156688,1.000,1,17267412
2024,12,181156710,0.300,1,17267413
2024,8,181156710,4.200,1,17267414
2024,8,199164719,11.000,9,19919719
2024,12,181156713,0.200,1,17267415
2024,8,183824123,3.850,1,17671937
2024,17,183824123,3.350,1,17671938
2024,8,181156725,1.000,9,17267416
2024,8,181156729,8.000,9,17267417
2024,8,181156730,13.000,9,17267418
2024,8,181156734,6.000,9,17267419
2024,12,181156735,0.350,3,17267420
