data_year,victim_id,offender_id,relationship_id,nibrs_victim_offender_id
2024,205718114,210653506,18,
2024,205718116,210653508,1,
2024,205718117,210653509,18,
2024,205718117,210653510,18,
2024,205718118,210653511,18,
2024,205718121,210653513,18,
2024,205718122,210653514,17,
2024,205718123,210653514,17,
2024,205718124,210653515,3,
2024,205718125,210653515,16,
2024,205718126,210653515,16,
2024,205718127,210653516,18,
2024,209784081,214685644,18,
2024,209784081,214685645,18,
2024,205718129,210653519,16,
2024,205718131,210653520,18,
2024,205718136,210653526,21,
2024,205718137,210653527,18,
2024,205718137,210653528,18,
2024,205718138,210653529,18,
2024,205718139,210653529,18,
2024,205718140,210653530,18,
2024,205718142,210653531,18,
2024,205718143,210653532,18,
2024,205718144,210653533,18,
2024,205718147,210653535,18,
2024,205718150,210653540,18,
2024,205718154,210653544,18,
2024,205718155,210653545,18,
2024,205718156,210653546,18,
2024,205718157,210653547,6,
2024,205718158,210653548,18,
2024,205718159,210653549,5,
2024,205718161,210653551,18,
2024,205718167,210653558,15,
2024,205718168,210653559,3,
2024,205718169,210653559,1,
2024,205718170,210653560,18,
2024,205718172,210653562,18,
2024,205718173,210653563,18,
2024,205718174,210653564,18,
2024,205718174,210653565,18,
2024,205718174,210653566,18,
2024,205718177,210653568,18,
2024,205718178,210653569,1,
2024,209784082,214685646,16,
2024,209784083,214685646,16,
2024,205718179,210653570,18,
2024,207822644,212741204,16,
2024,205718180,210653571,3,
2024,205718182,210653573,21,
2024,205718184,210653575,18,
2024,207822646,212741206,24,
2024,205718187,210653577,18,
2024,205718190,210653580,3,
2024,205718191,210653581,11,
2024,205718192,210653582,18,
2024,209784084,214685647,18,
2024,205718195,210653585,18,
2024,205718195,210653586,18,
2024,205718198,210653588,18,
2024,205718200,210653590,3,
2024,205718201,210653591,19,
2024,205718202,210653592,17,
2024,205718203,210653593,3,
2024,205718206,210653596,18,
2024,205718206,210653597,18,
2024,205718207,210653598,1,
2024,205718210,210653602,3,
2024,205718211,210653603,1,
2024,205718211,210653604,3,
2024,205718212,210653605,24,
2024,205718213,210653605,24,
2024,205718214,210653606,21,
2024,205718215,210653607,18,
2024,205718218,210653610,18,
2024,205718219,210653611,18,
2024,205718220,210653612,18,
2024,205718221,210653613,24,
2024,205718221,210653614,24,
2024,209784085,214685648,3,
2024,205718223,210653616,24,
2024,205718223,210653617,24,
2024,205718225,210653618,18,
2024,205718225,210653619,18,
2024,205718230,210653625,18,
2024,205718231,210653626,26,
2024,205718232,210653627,18,
2024,205718234,210653628,5,
2024,205718235,210653629,21,
2024,205718238,210653633,5,
2024,205718240,210653634,18,
2024,205718240,210653635,24,
2024,205718242,210653637,18,
2024,207822652,212741211,18,
2024,207822652,212741212,18,
2024,207822653,212741211,18,
2024,207822653,212741212,18,
2024,205718246,210653641,24,
2024,205718247,210653642,18,
2024,205718248,210653643,19,
2024,205718250,210653645,16,
2024,205718250,210653646,16,
2024,205718251,210653645,16,
2024,205718251,210653646,16,
2024,205718253,210653648,18,
2024,209784086,214685649,1,
2024,209784086,214685650,1,
2024,209784086,214685651,1,
2024,209784086,214685652,1,
2024,205718254,210653649,1,
2024,207822655,212741214,16,
2024,207822655,212741215,16,
2024,205718258,210653654,15,
2024,205718258,210653655,15,
2024,205718258,210653656,15,
2024,209784087,214685653,24,
2024,205718262,210653661,18,
2024,205718263,210653662,19,
2024,205718264,210653663,18,
2024,205718265,210653664,24,
2024,205718266,210653665,18,
2024,205718268,210653669,3,
2024,205718271,210653671,18,
2024,205718271,210653672,18,
2024,205718272,210653671,18,
2024,205718272,210653672,18,
2024,205718273,210653671,18,
2024,205718273,210653672,18,
2024,205718277,210653676,18,
2024,205718279,210653678,24,
2024,205718279,210653679,24,
2024,205718282,210653682,18,
2024,205718282,210653683,18,
2024,205718283,210653684,18,
2024,205718285,210653686,1,
2024,205718289,210653689,1,
2024,205718290,210653690,21,
2024,205718291,210653691,17,
2024,205718292,210653691,15,
2024,205718293,210653692,18,
2024,205718297,210653696,18,
2024,205718298,210653697,5,
2024,205718300,210653699,18,
2024,205718301,210653700,18,
2024,205718301,210653701,18,
2024,205718301,210653702,18,
2024,205718302,210653703,21,
2024,205718303,210653704,18,
2024,205718303,210653705,18,
2024,205718304,210653704,18,
2024,205718304,210653705,18,
2024,205718305,210653706,3,
2024,205718306,210653707,3,
2024,205718309,210653710,18,
2024,207822656,212741216,18,
2024,205718312,210653714,24,
2024,205718313,210653714,24,
2024,205718314,210653715,1,
2024,205718315,210653716,18,
2024,209784088,214685654,18,
2024,205718317,210653718,18,
2024,205718317,210653719,18,
2024,205718317,210653720,18,
2024,205718317,210653721,18,
2024,205718319,210653722,24,
2024,205718320,210653723,24,
2024,205718321,210653723,24,
2024,205718322,210653724,24,
2024,205718327,210653731,1,
2024,205718328,210653732,18,
2024,205718330,210653734,19,
2024,205718331,210653735,18,
2024,205718332,210653736,21,
2024,205718333,210653737,22,
2024,205718334,210653738,18,
2024,205718338,210653742,15,
2024,205718339,210653743,3,
2024,205718340,210653744,18,
2024,207822659,212741221,18,
2024,213370394,218247282,9,
2024,205718346,210653750,18,
2024,205718352,210653756,18,
2024,207822660,212741222,18,
2024,207822661,212741223,14,
2024,205718358,210653764,24,
2024,205718358,210653765,24,
2024,207822664,212741225,18,
2024,207822666,212741228,4,
2024,207822667,212741228,16,
2024,207822668,212741228,16,
2024,207822669,212741228,16,
2024,205718360,210653766,18,
2024,205718363,210653769,24,
2024,209784089,214685655,21,
2024,205718366,210653771,18,
2024,207822674,212741231,24,
2024,207822674,212741232,24,
2024,207822675,212741231,24,
2024,207822675,212741232,24,
