yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
127442024,12744,2024,NM0010000,NM0010000,,N,N,,I,BERNALILLO,BERNALILLO CO SO ALBUQUERQUE,Bernalillo,,A,36,New Mexico,NM,NM,8,Mountain,4,West,Region IV,County,116455,25186,NMUCR0001,New Mexico Department of Public Safety,Y,19,9A,"MSA counties 100,000 or over",9,MSA Counties,Y,19,,Y,262,68,330,37,77,114,2.6,3.8,2018-01-01,2019-01-01,2019-01-01,2020-04-01,2020-04-01,2020-04-01,N,BERNALILLO,"Albuquerque, NM",Y,Y,Y
127452024,12745,2024,NM0010100,NM0010100,,N,N,,I,ALBUQUERQUE,ALBUQUERQUE PD,Albuquerque,,A,36,New Mexico,NM,NM,8,Mountain,4,West,Region IV,City,558745,25186,NMUCR0001,New Mexico Department of Public Safety,N,4,1B,"Cities from 500,000 thru 999,999",1,"All cities 250,000 or over",Y,4,,Y,811,196,1007,159,432,591,1.7,2.9,2018-01-01,2018-01-01,2018-01-01,2018-06-01,2018-06-01,2018-06-01,N,BERNALILLO,"Albuquerque, NM",Y,Y,Y
127472024,12747,2024,NM0020000,NM0020000,,N,N,,I,CATRON,CATRON CO SO RESERVE,Catron,,A,36,New Mexico,NM,NM,8,Mountain,4,West,Region IV,County,3932,25186,NMUCR0001,New Mexico Department of Public Safety,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,6,2,8,0,5,5,1.5,3.3,2018-01-01,2021-11-01,2021-11-01,2021-11-01,2021-11-01,2021-11-01,N,CATRON,Not Specified,Y,Y,Y
127482024,12748,2024,NM0030000,NM0030000,,N,N,,I,CHAVES,CHAVES CO SO ROSWELL,Chaves,,A,36,New Mexico,NM,NM,8,Mountain,4,West,Region IV,County,14505,25186,NMUCR0001,New Mexico Department of Public Safety,N,15,8C,"Non-MSA counties from 10,000 thru 24,999",8,Non-MSA Counties,N,15,,Y,34,3,37,7,9,16,2.8,3.7,2018-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,N,CHAVES,Not Specified,Y,Y,Y
127492024,12749,2024,NM0030100,NM0030100,,N,N,,I,ROSWELL,ROSWELL PD,Roswell,,A,36,New Mexico,NM,NM,8,Mountain,4,West,Region IV,City,46677,25186,NMUCR0001,New Mexico Department of Public Safety,N,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,77,7,84,11,21,32,1.9,2.5,2018-01-01,2020-12-01,2022-10-01,2022-10-01,2022-10-01,2022-10-01,N,CHAVES,Not Specified,Y,Y,Y
127502024,12750,2024,NM0030200,NM0030200,,N,N,,I,DEXTER,DEXTER PD,Dexter,,A,36,New Mexico,NM,NM,8,Mountain,4,West,Region IV,City,1047,25186,NMUCR0001,New Mexico Department of Public Safety,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,4,0,4,0,1,1,3.8,4.8,2018-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,N,CHAVES,Not Specified,Y,Y,Y
127522024,12752,2024,NM0040100,NM0040100,,N,N,,I,RATON,RATON PD,Raton,,A,36,New Mexico,NM,NM,8,Mountain,4,West,Region IV,City,5961,25186,NMUCR0001,New Mexico Department of Public Safety,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,12,1,13,1,6,7,2.2,3.4,2018-01-01,2021-01-01,2022-10-01,2022-10-01,2022-10-01,2022-10-01,N,COLFAX,Not Specified,Y,Y,Y
127532024,12753,2024,NM0040200,NM0040200,,N,N,,I,CIMARRON,CIMARRON POLICE DEPARTMENT,Cimarron,,A,36,New Mexico,NM,NM,8,Mountain,4,West,Region IV,City,789,25186,NMUCR0001,New Mexico Department of Public Safety,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,N,,,,,,,,,2018-01-01,2019-10-01,2022-11-01,2022-11-01,2022-11-01,2022-11-01,N,COLFAX,Not Specified,Y,Y,Y
127542024,12754,2024,NM0040300,NM0040300,,N,N,,I,SPRINGER,SPRINGER PD,Springer,,A,36,New Mexico,NM,NM,8,Mountain,4,West,Region IV,City,926,25186,NMUCR0001,New Mexico Department of Public Safety,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,N,,,,,,,,,2018-01-01,2021-01-01,2022-10-01,2022-10-01,2022-10-01,2022-10-01,N,COLFAX,Not Specified,Y,Y,Y
127552024,12755,2024,NM0040500,NM0040500,,N,N,,I,ANGEL FIRE,ANGEL FIRE POLICE DEPARTMENT,Angel Fire,,A,36,New Mexico,NM,NM,8,Mountain,4,West,Region IV,City,1171,25186,NMUCR0001,New Mexico Department of Public Safety,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,6,1,7,0,1,1,5.1,6.8,2018-01-01,2020-09-01,2020-09-01,2020-09-01,2020-09-01,2020-09-01,N,COLFAX,Not Specified,Y,Y,Y
