,county,state,population_18_to_24_years_bachelor's_degree_or_higher,population_18_to_24_years_high_school_graduate_(includes_equivalency),population_18_to_24_years_less_than_high_school_graduate,population_18_to_24_years_some_college_or_associate's_degree,population_25_to_34_years_bachelor's_degree_or_higher,population_25_to_34_years_high_school_graduate_or_higher,"population_25_years_and_over_9th_to_12th_grade,_no_diploma",population_25_years_and_over_associate's_degree,population_25_years_and_over_bachelor's_degree,population_25_years_and_over_bachelor's_degree_or_higher,population_25_years_and_over_graduate_or_professional_degree,population_25_years_and_over_high_school_graduate_(includes_equivalency),population_25_years_and_over_high_school_graduate_or_higher,population_25_years_and_over_less_than_9th_grade,"population_25_years_and_over_some_college,_no_degree",population_35_to_44_years_bachelor's_degree_or_higher,population_35_to_44_years_high_school_graduate_or_higher,population_45_to_64_years_bachelor's_degree_or_higher,population_45_to_64_years_high_school_graduate_or_higher,population_65_years_and_over_bachelor's_degree_or_higher,population_65_years_and_over_high_school_graduate_or_higher
0,Ada County,Idaho,0.107,0.41600000000000004,0.107,0.37,0.485,0.97,0.027999999999999997,0.086,0.3,0.46299999999999997,0.163,0.20800000000000002,0.958,0.013999999999999999,0.2,0.507,0.955,0.486,0.951,0.377,0.96
1,Adams County,Colorado,0.10800000000000001,0.457,0.129,0.305,0.36700000000000005,0.892,0.07400000000000001,0.086,0.20800000000000002,0.313,0.105,0.262,0.856,0.07,0.19399999999999998,0.4,0.853,0.272,0.8320000000000001,0.20199999999999999,0.853
2,Adams County,Pennsylvania,0.084,0.42100000000000004,0.10400000000000001,0.391,0.266,0.96,0.057999999999999996,0.10099999999999999,0.14800000000000002,0.264,0.11599999999999999,0.358,0.914,0.027999999999999997,0.19,0.309,0.893,0.264,0.9420000000000001,0.242,0.872
3,Aiken County,South Carolina,0.077,0.39299999999999996,0.182,0.348,0.245,0.9420000000000001,0.055,0.09300000000000001,0.20600000000000002,0.325,0.11900000000000001,0.301,0.919,0.026000000000000002,0.2,0.368,0.9079999999999999,0.311,0.924,0.361,0.9059999999999999
4,Alachua County,Florida,0.23,0.17,0.02,0.581,0.607,0.976,0.013999999999999999,0.11199999999999999,0.271,0.545,0.27399999999999997,0.166,0.9670000000000001,0.019,0.14400000000000002,0.578,0.982,0.501,0.958,0.517,0.9590000000000001
5,Alamance County,North Carolina,0.11900000000000001,0.305,0.081,0.495,0.319,0.898,0.07200000000000001,0.12,0.198,0.305,0.107,0.26,0.893,0.034,0.20800000000000002,0.39,0.862,0.249,0.892,0.316,0.914
6,Alameda County,California,0.213,0.33,0.076,0.382,0.61,0.9420000000000001,0.044000000000000004,0.064,0.292,0.534,0.24100000000000002,0.151,0.888,0.069,0.139,0.632,0.92,0.498,0.868,0.425,0.8370000000000001
7,Albany County,New York,0.201,0.384,0.091,0.325,0.603,0.9440000000000001,0.034,0.11,0.231,0.484,0.252,0.19899999999999998,0.932,0.034,0.139,0.5529999999999999,0.9259999999999999,0.455,0.932,0.391,0.929
8,Albemarle County,Virginia,0.212,0.272,0.039,0.47700000000000004,0.579,0.9059999999999999,0.028999999999999998,0.044000000000000004,0.285,0.625,0.34,0.13,0.938,0.034,0.139,0.687,0.946,0.643,0.9179999999999999,0.595,0.97
9,Alexandria city,Virginia,0.342,0.23600000000000002,0.113,0.308,0.696,0.965,0.032,0.043,0.316,0.6940000000000001,0.37799999999999995,0.099,0.9420000000000001,0.026000000000000002,0.106,0.725,0.9309999999999999,0.7140000000000001,0.9309999999999999,0.611,0.941
10,Allegan County,Michigan,0.07,0.545,0.22699999999999998,0.157,0.355,0.971,0.036000000000000004,0.096,0.191,0.285,0.095,0.373,0.9359999999999999,0.027999999999999997,0.182,0.242,0.9390000000000001,0.297,0.92,0.255,0.932
11,Allegany County,Maryland,0.07,0.535,0.04,0.35600000000000004,0.264,0.912,0.051,0.09699999999999999,0.13,0.21600000000000003,0.087,0.42100000000000004,0.934,0.015,0.2,0.162,0.922,0.17,0.973,0.26899999999999996,0.9109999999999999
12,Allegheny County,Pennsylvania,0.217,0.348,0.10300000000000001,0.332,0.627,0.9740000000000001,0.026000000000000002,0.09699999999999999,0.27399999999999997,0.48,0.20600000000000002,0.251,0.96,0.013999999999999999,0.132,0.593,0.965,0.447,0.9570000000000001,0.34299999999999997,0.9520000000000001
13,Allen County,Indiana,0.11599999999999999,0.418,0.233,0.233,0.354,0.898,0.040999999999999995,0.111,0.22,0.32299999999999995,0.10300000000000001,0.276,0.899,0.061,0.188,0.369,0.89,0.32,0.889,0.265,0.919
14,Allen County,Ohio,0.051,0.43799999999999994,0.12,0.391,0.23,0.8909999999999999,0.08199999999999999,0.115,0.127,0.209,0.08199999999999999,0.387,0.899,0.019,0.187,0.23399999999999999,0.871,0.175,0.935,0.223,0.877
15,Anchorage Municipality,Alaska,0.1,0.449,0.16,0.29100000000000004,0.376,0.9229999999999999,0.036000000000000004,0.087,0.233,0.39899999999999997,0.166,0.242,0.943,0.021,0.214,0.43799999999999994,0.956,0.405,0.953,0.376,0.935
16,Anderson County,South Carolina,0.069,0.433,0.085,0.413,0.33899999999999997,0.951,0.066,0.11699999999999999,0.17600000000000002,0.281,0.105,0.302,0.899,0.035,0.19899999999999998,0.24100000000000002,0.9159999999999999,0.28800000000000003,0.893,0.261,0.863
17,Anderson County,Tennessee,0.14400000000000002,0.5870000000000001,0.061,0.20800000000000002,0.39,0.96,0.038,0.098,0.166,0.292,0.126,0.327,0.9279999999999999,0.034,0.21,0.33399999999999996,0.935,0.215,0.912,0.3,0.9229999999999999
18,Androscoggin County,Maine,0.07200000000000001,0.501,0.042,0.385,0.28800000000000003,0.9740000000000001,0.047,0.12300000000000001,0.168,0.243,0.075,0.381,0.94,0.013000000000000001,0.193,0.332,0.941,0.23199999999999998,0.9540000000000001,0.172,0.899
19,Angelina County,Texas,0.062,0.514,0.078,0.34700000000000003,0.2,0.925,0.054000000000000006,0.09699999999999999,0.114,0.196,0.08199999999999999,0.345,0.866,0.08,0.228,0.187,0.927,0.188,0.816,0.207,0.8440000000000001
20,Anne Arundel County,Maryland,0.15,0.42100000000000004,0.121,0.308,0.474,0.929,0.04,0.065,0.251,0.467,0.21600000000000003,0.226,0.9329999999999999,0.027000000000000003,0.175,0.528,0.937,0.473,0.941,0.397,0.92
