,month,actual_arrests,rate_per_100k,population,participated_population,ori
0,2024-01-01,,,504,,CO0050700
1,2024-02-01,,,504,,CO0050700
2,2024-03-01,,,504,,CO0050700
3,2024-04-01,,,504,,CO0050700
4,2024-05-01,,,504,,CO0050700
5,2024-06-01,,,504,,CO0050700
6,2024-07-01,,,504,,CO0050700
7,2024-08-01,,,504,,CO0050700
8,2024-09-01,,,504,,CO0050700
9,2024-10-01,,,504,,CO0050700
10,2024-11-01,,,504,,CO0050700
11,2024-12-01,,,504,,CO0050700
12,2024-01-01,,,1543,,CO0050000
13,2024-02-01,,,1543,,CO0050000
14,2024-03-01,,,1543,,CO0050000
15,2024-04-01,,,1543,,CO0050000
16,2024-05-01,,,1543,,CO0050000
17,2024-06-01,,,1543,,CO0050000
18,2024-07-01,,,1543,,CO0050000
19,2024-08-01,,,1543,,CO0050000
20,2024-09-01,,,1543,,CO0050000
21,2024-10-01,,,1543,,CO0050000
22,2024-11-01,,,1543,,CO0050000
23,2024-12-01,,,1543,,CO0050000
24,2024-01-01,1.0,78.13,1280,1280.0,CO0050100
25,2024-02-01,7.0,546.88,1280,1280.0,CO0050100
26,2024-03-01,4.0,312.5,1280,1280.0,CO0050100
27,2024-04-01,3.0,234.38,1280,1280.0,CO0050100
28,2024-05-01,3.0,234.38,1280,1280.0,CO0050100
29,2024-06-01,7.0,546.88,1280,1280.0,CO0050100
30,2024-07-01,5.0,390.63,1280,1280.0,CO0050100
31,2024-08-01,6.0,468.75,1280,1280.0,CO0050100
32,2024-09-01,2.0,156.25,1280,1280.0,CO0050100
33,2024-10-01,2.0,156.25,1280,1280.0,CO0050100
34,2024-11-01,3.0,234.38,1280,1280.0,CO0050100
35,2024-12-01,3.0,234.38,1280,1280.0,CO0050100
36,2024-01-01,9.0,155.17,5800,5800.0,CO0060000
37,2024-02-01,15.0,258.62,5800,5800.0,CO0060000
38,2024-03-01,5.0,86.21,5800,5800.0,CO0060000
39,2024-04-01,17.0,293.1,5800,5800.0,CO0060000
40,2024-05-01,11.0,189.66,5800,5800.0,CO0060000
41,2024-06-01,6.0,103.45,5800,5800.0,CO0060000
42,2024-07-01,10.0,172.41,5800,5800.0,CO0060000
43,2024-08-01,13.0,224.14,5800,5800.0,CO0060000
44,2024-09-01,10.0,172.41,5800,5800.0,CO0060000
45,2024-10-01,12.0,206.9,5800,5800.0,CO0060000
46,2024-11-01,12.0,206.9,5800,5800.0,CO0060000
47,2024-12-01,9.0,155.17,5800,5800.0,CO0060000
48,2024-01-01,14.0,292.89,4780,4780.0,CO0330000
49,2024-02-01,15.0,313.81,4780,4780.0,CO0330000
50,2024-03-01,17.0,355.65,4780,4780.0,CO0330000
51,2024-04-01,18.0,376.57,4780,4780.0,CO0330000
52,2024-05-01,7.0,146.44,4780,4780.0,CO0330000
53,2024-06-01,14.0,292.89,4780,4780.0,CO0330000
54,2024-07-01,9.0,188.28,4780,4780.0,CO0330000
55,2024-08-01,8.0,167.36,4780,4780.0,CO0330000
56,2024-09-01,8.0,167.36,4780,4780.0,CO0330000
57,2024-10-01,3.0,62.76,4780,4780.0,CO0330000
58,2024-11-01,7.0,146.44,4780,4780.0,CO0330000
59,2024-12-01,5.0,104.6,4780,4780.0,CO0330000
60,2024-01-01,6.0,228.14,2630,2630.0,CO0330100
61,2024-02-01,2.0,76.05,2630,2630.0,CO0330100
62,2024-03-01,1.0,38.02,2630,2630.0,CO0330100
63,2024-04-01,1.0,38.02,2630,2630.0,CO0330100
64,2024-05-01,4.0,152.09,2630,2630.0,CO0330100
65,2024-06-01,2.0,76.05,2630,2630.0,CO0330100
66,2024-07-01,1.0,38.02,2630,2630.0,CO0330100
67,2024-08-01,9.0,342.21,2630,2630.0,CO0330100
68,2024-09-01,3.0,114.07,2630,2630.0,CO0330100
69,2024-10-01,2.0,76.05,2630,2630.0,CO0330100
70,2024-11-01,1.0,38.02,2630,2630.0,CO0330100
71,2024-12-01,0.0,0.0,2630,2630.0,CO0330100
72,2024-01-01,,,473,,CO0390400
73,2024-02-01,,,473,,CO0390400
74,2024-03-01,,,473,,CO0390400
75,2024-04-01,,,473,,CO0390400
76,2024-05-01,,,473,,CO0390400
77,2024-06-01,,,473,,CO0390400
78,2024-07-01,,,473,,CO0390400
79,2024-08-01,,,473,,CO0390400
80,2024-09-01,,,473,,CO0390400
81,2024-10-01,,,473,,CO0390400
82,2024-11-01,,,473,,CO0390400
83,2024-12-01,,,473,,CO0390400
84,2024-01-01,182.0,244.29,74502,74502.0,CO0390000
85,2024-02-01,174.0,233.55,74502,74502.0,CO0390000
86,2024-03-01,165.0,221.47,74502,74502.0,CO0390000
87,2024-04-01,193.0,259.05,74502,74502.0,CO0390000
88,2024-05-01,204.0,273.82,74502,74502.0,CO0390000
89,2024-06-01,191.0,256.37,74502,74502.0,CO0390000
90,2024-07-01,197.0,264.42,74502,74502.0,CO0390000
91,2024-08-01,186.0,249.66,74502,74502.0,CO0390000
92,2024-09-01,180.0,241.6,74502,74502.0,CO0390000
93,2024-10-01,184.0,246.97,74502,74502.0,CO0390000
94,2024-11-01,161.0,216.1,74502,74502.0,CO0390000
95,2024-12-01,157.0,210.73,74502,74502.0,CO0390000
96,2024-01-01,377.0,533.34,70686,70686.0,CO0390100
97,2024-02-01,383.0,541.83,70686,70686.0,CO0390100
98,2024-03-01,340.0,481.0,70686,70686.0,CO0390100
99,2024-04-01,349.0,493.73,70686,70686.0,CO0390100
100,2024-05-01,351.0,496.56,70686,70686.0,CO0390100
101,2024-06-01,383.0,541.83,70686,70686.0,CO0390100
102,2024-07-01,432.0,611.15,70686,70686.0,CO0390100
103,2024-08-01,409.0,578.62,70686,70686.0,CO0390100
104,2024-09-01,451.0,638.03,70686,70686.0,CO0390100
105,2024-10-01,464.0,656.42,70686,70686.0,CO0390100
106,2024-11-01,388.0,548.91,70686,70686.0,CO0390100
107,2024-12-01,344.0,486.66,70686,70686.0,CO0390100
108,2024-01-01,18.0,129.04,13949,13949.0,CO0390200
109,2024-02-01,17.0,121.87,13949,13949.0,CO0390200
