ori,counties,is_nibrs,latitude,longitude,state_abbr,state_name,agency_name,agency_type_name,nibrs_start_date,county_name,Arrests_2024,Population_2024
NM0130500,LEA,FALSE,32.795687,-103.413271,NM,New Mexico,Tatum Police Department,City,,LEA,0,673
NM0130000,LEA,TRUE,32.935955,-103.341995,NM,New Mexico,Lea County Sheriff's Office,County,10/1/2020,LEA,514,16133
NM0130100,LEA,TRUE,32.795687,-103.413271,NM,New Mexico,Eunice Police Department,City,1/1/2021,LEA,21,2904
NM0130200,LEA,TRUE,32.702976,-103.13619,NM,New Mexico,Hobbs Police Department,City,1/1/2020,LEA,2072,38972
NM0130300,LEA,TRUE,32.795687,-103.413271,NM,New Mexico,Jal Police Department,City,1/1/2021,LEA,1,2075
NM0130400,LEA,TRUE,32.946884,-103.3474,NM,New Mexico,Lovington Police Department,City,9/1/2022,LEA,0,11091
NM0080300,EDDY,FALSE,32.457858,-104.306471,NM,New Mexico,Loving Police Department,City,,EDDY,0,1311
NM0080200,EDDY,TRUE,32.457858,-104.306471,NM,New Mexico,Carlsbad Police Department,City,1/1/2020,EDDY,888,31243
NM0080100,EDDY,TRUE,32.457858,-104.306471,NM,New Mexico,Artesia Police Department,City,1/1/2021,EDDY,245,12152
NM0080000,EDDY,TRUE,32.420414,-104.22896,NM,New Mexico,Eddy County Sheriff's Office,County,7/1/2021,EDDY,686,15273
NM0080500,EDDY,TRUE,32.457858,-104.306471,NM,New Mexico,Hope Police Department,City,1/1/2021,EDDY,6,107
NM0160000,LUNA,TRUE,32.184295,-107.746922,NM,New Mexico,Luna County Sheriff's Office,County,1/1/2021,LUNA,21,10930
NM0160100,LUNA,FALSE,32.269485,-107.75179,NM,New Mexico,Deming Police Department,City,,LUNA,0,14543
NM0180000,MORA,TRUE,35.982841,-104.921898,NM,New Mexico,Mora County Sheriff's Office,County,1/1/2021,MORA,90,4134
NM0200200,QUAY,TRUE,35.107018,-103.548071,NM,New Mexico,Logan Police Department,City,1/1/2020,QUAY,22,956
NM0200000,QUAY,TRUE,35.107018,-103.548071,NM,New Mexico,Quay County Sheriff's Office,County,1/1/2021,QUAY,18,2478
NM0200100,QUAY,TRUE,35.107018,-103.548071,NM,New Mexico,Tucumcari Police Department,City,1/1/2022,QUAY,0,5078
NM0290300,TAOS,TRUE,36.576529,-105.637986,NM,New Mexico,Red River Police Department,City,7/1/2022,TAOS,0,535
NM0290500,TAOS,TRUE,36.576529,-105.637986,NM,New Mexico,Taos Ski Valley Police Department,City,9/1/2021,TAOS,0,82
NM0290200,TAOS,TRUE,36.576529,-105.637986,NM,New Mexico,Questa Police Department,City,1/1/2024,TAOS,10,1797
NM0290100,TAOS,TRUE,36.409138,-105.57204,NM,New Mexico,Taos Police Department,City,1/1/2021,TAOS,187,6406
NM0290000,TAOS,TRUE,36.576529,-105.637986,NM,New Mexico,Taos County Sheriff's Office,County,7/1/2024,TAOS,10,25843
NM0050300,CURRY,TRUE,34.572984,-103.346055,NM,New Mexico,Texico Police Department,City,7/1/2024,CURRY,0,915
NM0050000,CURRY,TRUE,34.572984,-103.346055,NM,New Mexico,Curry County Sheriff's Office,County,1/1/2021,CURRY,238,8992
NM0050100,CURRY,TRUE,34.572984,-103.346055,NM,New Mexico,Clovis Police Department,City,1/1/2021,CURRY,393,37316
NM0090000,GRANT,FALSE,32.783188,-108.265976,NM,New Mexico,Grant County Sheriff's Office,County,,GRANT,0,13318
NM0090100,GRANT,FALSE,32.732087,-108.381504,NM,New Mexico,Silver City Police Department,City,,GRANT,0,9268
NM0090200,GRANT,TRUE,32.732087,-108.381504,NM,New Mexico,Bayard Police Department,City,1/1/2021,GRANT,78,2046
NM0090300,GRANT,TRUE,32.732087,-108.381504,NM,New Mexico,Santa Clara Police Department,City,2/1/2021,GRANT,21,1598
NM0090400,GRANT,TRUE,32.732087,-108.381504,NM,New Mexico,Hurley Police Department,City,1/1/2021,GRANT,0,1221
NM0090500,GRANT,TRUE,32.732087,-108.381504,NM,New Mexico,Western New Mexico University,University or College,2/1/2021,GRANT,2,0
NM0190200,OTERO,TRUE,32.588776,-105.781079,NM,New Mexico,Tularosa Police Department,City,1/1/2024,OTERO,17,2614
NM0190100,OTERO,TRUE,32.896988,-105.9556,NM,New Mexico,Alamogordo Police Department,City,1/1/2021,OTERO,2382,31401
NM0190000,OTERO,TRUE,32.588776,-105.781079,NM,New Mexico,Otero County Sheriff's Office,County,1/1/2024,OTERO,632,34945
NM0190300,OTERO,TRUE,32.588776,-105.781079,NM,New Mexico,Cloudcroft Police Department,City,1/1/2021,OTERO,0,759
NM0310100,UNION,TRUE,36.452724,-103.186264,NM,New Mexico,Clayton Police Department,City,1/1/2021,UNION,54,2559
NM0310000,UNION,TRUE,36.488085,-103.475723,NM,New Mexico,Union County Sheriff's Office,County,1/1/2022,UNION,0,1402
NM0020000,CATRON,TRUE,33.901813,-108.392097,NM,New Mexico,Catron County Sheriff's Office,County,11/1/2021,CATRON,2,3932
NM0030000,CHAVES,TRUE,33.361604,-104.469837,NM,New Mexico,Chaves County Sheriff's Office,County,1/1/2021,CHAVES,389,14505
NM0030100,CHAVES,TRUE,33.361604,-104.469837,NM,New Mexico,Roswell Police Department,City,12/1/2020,CHAVES,3241,46677
