,month,actual_arrests,rate_per_100k,population,participated_population,ori
0,2024-01-01,0.0,0.0,673,0.0,NM0130500
1,2024-02-01,0.0,0.0,673,0.0,NM0130500
2,2024-03-01,0.0,0.0,673,0.0,NM0130500
3,2024-04-01,0.0,0.0,673,0.0,NM0130500
4,2024-05-01,0.0,0.0,673,0.0,NM0130500
5,2024-06-01,0.0,0.0,673,0.0,NM0130500
6,2024-07-01,0.0,0.0,673,0.0,NM0130500
7,2024-08-01,0.0,0.0,673,0.0,NM0130500
8,2024-09-01,0.0,0.0,673,0.0,NM0130500
9,2024-10-01,0.0,0.0,673,0.0,NM0130500
10,2024-11-01,0.0,0.0,673,0.0,NM0130500
11,2024-12-01,0.0,0.0,673,0.0,NM0130500
12,2024-01-01,47.0,291.33,16133,16133.0,NM0130000
13,2024-02-01,41.0,254.14,16133,16133.0,NM0130000
14,2024-03-01,49.0,303.73,16133,16133.0,NM0130000
15,2024-04-01,44.0,272.73,16133,16133.0,NM0130000
16,2024-05-01,52.0,322.32,16133,16133.0,NM0130000
17,2024-06-01,52.0,322.32,16133,16133.0,NM0130000
18,2024-07-01,41.0,254.14,16133,16133.0,NM0130000
19,2024-08-01,40.0,247.94,16133,16133.0,NM0130000
20,2024-09-01,27.0,167.36,16133,16133.0,NM0130000
21,2024-10-01,38.0,235.54,16133,16133.0,NM0130000
22,2024-11-01,44.0,272.73,16133,16133.0,NM0130000
23,2024-12-01,39.0,241.74,16133,16133.0,NM0130000
24,2024-01-01,3.0,103.31,2904,2904.0,NM0130100
25,2024-02-01,1.0,34.44,2904,2904.0,NM0130100
26,2024-03-01,0.0,0.0,2904,2904.0,NM0130100
27,2024-04-01,1.0,34.44,2904,2904.0,NM0130100
28,2024-05-01,2.0,68.87,2904,2904.0,NM0130100
29,2024-06-01,3.0,103.31,2904,2904.0,NM0130100
30,2024-07-01,1.0,34.44,2904,2904.0,NM0130100
31,2024-08-01,1.0,34.44,2904,2904.0,NM0130100
32,2024-09-01,2.0,68.87,2904,2904.0,NM0130100
